"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Hammo","985188145",8807500,10500000,1692500,19.2
"Mitth'raw'nuruodo","368945983",11374500,13500000,2125500,18.7
"Remo","617343877",14448500,17100000,2651500,18.4
"mountjl","144546612",13159000,15300000,2141000,16.3
"MINI Binho","447521174",13444000,15300000,1856000,13.8
"Seydaneen","498183781",11105500,12600000,1494500,13.5
"Morgoth","955838368",14431500,16200000,1768500,12.3
"Force Ghost A","247175762",10843000,12150000,1307000,12.1
"MINI Gewases Gait","781658169",14549000,16200000,1651000,11.3
"Klesk","548477854",10368000,11400000,1032000,10
"soolo","211443325",15706500,17100000,1393500,8.9
"Creative HD","368777242",9603000,10415000,812000,8.5
"Danarius","269662845",12464500,13500000,1035500,8.3
"Forfs","172375865",16497000,17820000,1323000,8
"Trent","382196579",11371500,12150000,778500,6.8
"pikappa","479536574",12139500,12900000,760500,6.3
"uzun4o","385111398",11865000,12600000,735000,6.2
"Eilleye","889953137",12211500,12900000,688500,5.6
"Fraser","754528616",17068000,18000000,932000,5.5
"CookieCrispp","664316463",17142000,18000000,858000,5
"Sir3","169971229",10596500,11100000,503500,4.8
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17232000,18000000,768000,4.5
"slepy","144564766",10393500,10800000,406500,3.9
"Noodlehead Jones","918418274",12218000,12540000,322000,2.6
"TK6445","575217765",10900000,11100000,200000,1.8
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Leesus de Mol","194491658",9639000,9600000,-39000,-0.4
"Mol Endinarius","546266818",10430000,10140000,-290000,-2.8
"Baker","781273553",13174000,12600000,-574000,-4.4
"Set Harth","815276889",9021500,8580000,-441500,-4.9
"Charles","561322277",14857500,13500000,-1357500,-9.1
"Sirdavidsonj","956947937",9942000,9000000,-942000,-9.5
"DarthCiiid'r","364518768",6562500,5932500,-630000,-9.6
"onk","927418855",5802500,5100000,-702500,-12.1
"tenorman","389543546",11699000,10035000,-1664000,-14.2
"καρζζ","293117171",11725500,9900000,-1825500,-15.6
"Kolin","895636154",16333500,13500000,-2833500,-17.3
"Kyle Katarn OG","124126581",14195000,11700000,-2495000,-17.6
"Luna Lovegood","168712897",14110500,11550000,-2560500,-18.1
"Iɳʋιƚαԃσ","887886159",15649500,12525000,-3124500,-20
"Amen","277226677",11862500,9000000,-2862500,-24.1
"Lux Aeterna","666342982",14683000,10800000,-3883000,-26.4
"ÐΛЯТHŁФЯÐ","546454824",14761000,10800000,-3961000,-26.8
"Wladmir","475635164",9813500,6660000,-3153500,-32.1
"Darțh Ragnarok","848963679",10318000,6300000,-4018000,-38.9
"R3D IX","412684243",12179500,6300000,-5879500,-48.3
"Jaybee Ω","517227322",12846500,1215000,-11631500,-90.5
"QuiGonJin","658131841",14454000,600000,-13854000,-95.8
"Snikers","711328158",9958500,300000,-9658500,-97
"MΔWSΔssin","534823566",12597500,0,-12597500,-100
