"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Force Ghost A","247175762",13739500,15300000,1560500,11.4
"Trent","382196579",14618000,16200000,1582000,10.8
"mountjl","144546612",15532500,17100000,1567500,10.1
"Remo","617343877",15621500,17100000,1478500,9.5
"Seydaneen","498183781",14023500,15300000,1276500,9.1
"Hammo","985188145",10111500,10800000,688500,6.8
"Noodlehead Jones","918418274",13275500,13905000,629500,4.7
"Ricky","152984781",14998500,15705000,706500,4.7
"onk","927418855",7200000,7500000,300000,4.2
"Fraser","754528616",17317000,18000000,683000,3.9
"MINI Gewases Gait","781658169",15639000,16140000,501000,3.2
"CookieCrispp","664316463",17508000,18000000,492000,2.8
"soolo","211443325",16616000,16980000,364000,2.2
"Eilleye","889953137",14172500,14400000,227500,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17708500,18000000,291500,1.6
"Sirdavidsonj","956947937",12814500,12900000,85500,0.7
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Maverick","986347788",16154000,,,
"MountRJ","361281828",388000,,,
"TK6445","575217765",12160500,12150000,-10500,-0.1
"Kyle Katarn OG","124126581",15866500,15795000,-71500,-0.5
"tenorman","389543546",13176500,13110000,-66500,-0.5
"MINI Binho","447521174",15583000,15420000,-163000,-1
"slepy","144564766",10919000,10800000,-119000,-1.1
"Danarius","269662845",14594000,14400000,-194000,-1.3
"uzun4o","385111398",14757500,14400000,-357500,-2.4
"pikappa","479536574",13234000,12900000,-334000,-2.5
"Leesus de Mol","194491658",11625500,11100000,-525500,-4.5
"Charles","561322277",15530000,14640000,-890000,-5.7
"Set Harth","815276889",11821000,10515000,-1306000,-11
"Kolin","895636154",16497500,14400000,-2097500,-12.7
"Cire","363639736",15411500,13440000,-1971500,-12.8
"Mol Endinarius","546266818",14604000,12600000,-2004000,-13.7
"Forfs","172375865",16889500,14400000,-2489500,-14.7
"Mitth'raw'nuruodo","368945983",11622500,9900000,-1722500,-14.8
"Darțh Ragnarok","848963679",12768000,10800000,-1968000,-15.4
"Baker","781273553",14941000,12600000,-2341000,-15.7
"Sir3","169971229",12954000,10800000,-2154000,-16.6
"Luna Lovegood","168712897",16472500,13200000,-3272500,-19.9
"R3D IX","412684243",14164000,10530000,-3634000,-25.7
"Amen","277226677",12184000,9000000,-3184000,-26.1
"Snikers","711328158",11980000,8715000,-3265000,-27.3
"Creative HD","368777242",12742000,9000000,-3742000,-29.4
"Morgoth","955838368",16246500,10800000,-5446500,-33.5
"ÐΛЯТHŁФЯÐ","546454824",16524500,10140000,-6384500,-38.6
"DarthCiiid'r","364518768",12165000,6660000,-5505000,-45.3
"Wladmir","475635164",11736000,6210000,-5526000,-47.1
"καρζζ","293117171",13332000,6300000,-7032000,-52.7
"MΔWSΔssin","534823566",14646000,3600000,-11046000,-75.4
"Lux Aeterna","666342982",16327000,3600000,-12727000,-78
