"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"ER DarKnight","782938667",8502000,9750000,1248000,14.7
"mountjl","144546612",17383000,18000000,617000,3.5
"Set Harth","815276889",13063000,13500000,437000,3.3
"Seydaneen","498183781",16684000,17100000,416000,2.5
"CookieCrispp","664316463",17592000,18000000,408000,2.3
"Forfs","172375865",17618500,18000000,381500,2.2
"Fraser","754528616",17667500,18000000,332500,1.9
"Creative HD","368777242",15963500,16200000,236500,1.5
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17787000,18000000,213000,1.2
"Mitth'raw'nuruodo","368945983",14237500,14400000,162500,1.1
"Leesus de Mol","194491658",14324500,14400000,75500,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Force Ghost A","247175762",15563500,15240000,-323500,-2.1
"Charles","561322277",16315000,15300000,-1015000,-6.2
"Danarius","269662845",15443500,14400000,-1043500,-6.8
"slepy","144564766",13617000,12600000,-1017000,-7.5
"Mol Endinarius","546266818",15961500,14400000,-1561500,-9.8
"Snikers","711328158",16021000,14400000,-1621000,-10.1
"Noodlehead Jones","918418274",16370000,14700000,-1670000,-10.2
"Luna Lovegood","168712897",17344500,15195000,-2149500,-12.4
"tenorman","389543546",15450500,13500000,-1950500,-12.6
"Sgc8647","623292887",11615000,10110000,-1505000,-13
"TK6445","575217765",16658000,14400000,-2258000,-13.6
"Eilleye","889953137",16872500,14400000,-2472500,-14.7
"Amen","277226677",15111500,12600000,-2511500,-16.6
"soolo","211443325",17371500,14400000,-2971500,-17.1
"Kolin","895636154",17490500,14400000,-3090500,-17.7
"MINI Gewases Gait","781658169",16734500,13480000,-3254500,-19.4
"Remo","617343877",16754500,13500000,-3254500,-19.4
"Sirdavidsonj","956947937",14737000,11700000,-3037000,-20.6
"uzun4o","385111398",16661500,13200000,-3461500,-20.8
"Baker","781273553",15987000,12600000,-3387000,-21.2
"Morgoth","955838368",17420500,13500000,-3920500,-22.5
"Sir3","169971229",14076500,10800000,-3276500,-23.3
"Rolfey81","727183121",13206500,9900000,-3306500,-25
"onk","927418855",10008500,7500000,-2508500,-25.1
"Maverick","986347788",17737500,13080000,-4657500,-26.3
"Wladmir","475635164",14180000,10295000,-3885000,-27.4
"pikappa","479536574",17187000,12300000,-4887000,-28.4
"ER Darthpolli21","636722576",14340500,10020000,-4320500,-30.1
"Darțh Ragnarok","848963679",14566000,9900000,-4666000,-32
"MINI Binho","447521174",16119000,10800000,-5319000,-33
"καρζζ","293117171",16815500,10800000,-6015500,-35.8
"R3D IX","412684243",15672000,9720000,-5952000,-38
"Kyle Katarn OG","124126581",16714000,9900000,-6814000,-40.8
"ÐΛЯТHŁФЯÐ","546454824",17576000,10320000,-7256000,-41.3
"Cire","363639736",16556500,7200000,-9356500,-56.5
"Lux Aeterna","666342982",17101000,6840000,-10261000,-60
"MΔWSΔssin","534823566",15462000,3600000,-11862000,-76.7
"Hammo","985188145",13263500,0,-13263500,-100
