"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"onk","927418855",9408500,9900000,491500,5.2
"Force Ghost A","247175762",14646500,15300000,653500,4.5
"Hammo","985188145",13286500,13800000,513500,3.9
"mountjl","144546612",17358000,18000000,642000,3.7
"Seydaneen","498183781",16676500,17100000,423500,2.5
"CookieCrispp","664316463",17593500,18000000,406500,2.3
"Forfs","172375865",17631000,18000000,369000,2.1
"Fraser","754528616",17637000,18000000,363000,2.1
"Mol Endinarius","546266818",15960500,16200000,239500,1.5
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17755500,18000000,244500,1.4
"Leesus de Mol","194491658",14325000,14400000,75000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"ER DarKnight","782938667",8262500,,,
"ER Darthpolli21","636722576",14308500,,,
"Sgc8647","623292887",11613500,,,
"pikappa","479536574",15362500,15300000,-62500,-0.4
"Eilleye","889953137",16875000,16380000,-495000,-2.9
"Set Harth","815276889",13060500,12420000,-640500,-4.9
"Mitth'raw'nuruodo","368945983",14241000,13500000,-741000,-5.2
"Charles","561322277",16319500,15300000,-1019500,-6.2
"Danarius","269662845",15423000,14400000,-1023000,-6.6
"Morgoth","955838368",17400000,16200000,-1200000,-6.9
"slepy","144564766",13613000,12600000,-1013000,-7.4
"Noodlehead Jones","918418274",16363500,14700000,-1663500,-10.2
"Sirdavidsonj","956947937",14729500,13185000,-1544500,-10.5
"tenorman","389543546",15239500,13620000,-1619500,-10.6
"Creative HD","368777242",15972500,13560000,-2412500,-15.1
"soolo","211443325",17376000,14400000,-2976000,-17.1
"TK6445","575217765",16654500,13800000,-2854500,-17.1
"Kolin","895636154",17482500,14400000,-3082500,-17.6
"Rolfey81","727183121",12129500,9900000,-2229500,-18.4
"MINI Gewases Gait","781658169",16710000,13500000,-3210000,-19.2
"Remo","617343877",16738000,13500000,-3238000,-19.3
"Baker","781273553",15990000,12600000,-3390000,-21.2
"uzun4o","385111398",16040500,12600000,-3440500,-21.4
"Sir3","169971229",14077500,10800000,-3277500,-23.3
"Snikers","711328158",14177500,10840000,-3337500,-23.5
"Kyle Katarn OG","124126581",16719500,12285000,-4434500,-26.5
"Amen","277226677",15092500,10800000,-4292500,-28.4
"Maverick","986347788",17746500,12460000,-5286500,-29.8
"Cire","363639736",16567500,11340000,-5227500,-31.6
"καρζζ","293117171",16792500,10800000,-5992500,-35.7
"Darțh Ragnarok","848963679",14562000,9000000,-5562000,-38.2
"ÐΛЯТHŁФЯÐ","546454824",17578500,9960000,-7618500,-43.3
"Wladmir","475635164",14171000,6930000,-7241000,-51.1
"R3D IX","412684243",15678500,7200000,-8478500,-54.1
"Luna Lovegood","168712897",17339500,3600000,-13739500,-79.2
"MINI Binho","447521174",15607500,3060000,-12547500,-80.4
"MΔWSΔssin","534823566",15473500,0,-15473500,-100
