"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Set Harth","815276889",13080000,13815000,735000,5.6
"damocheeks","379234773",14539500,15300000,760500,5.2
"Seydaneen","498183781",16680000,17100000,420000,2.5
"Fraser","754528616",17690500,18000000,309500,1.7
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17802500,18000000,197500,1.1
"Leesus de Mol","194491658",14324000,14400000,76000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"CookieCrispp","664316463",17589000,17280000,-309000,-1.8
"mountjl","144546612",17414000,17100000,-314000,-1.8
"Sirdavidsonj","956947937",14739500,14355000,-384500,-2.6
"User1234","255227625",13830500,13380000,-450500,-3.3
"GrievousAndButthead","631836389",15884000,15300000,-584000,-3.7
"Hammo","985188145",13295000,12600000,-695000,-5.2
"Danarius","269662845",15473000,14400000,-1073000,-6.9
"MINI Gewases Gait","781658169",16739500,15180000,-1559500,-9.3
"slepy","144564766",14142000,12600000,-1542000,-10.9
"Mitth'raw'nuruodo","368945983",14262000,12600000,-1662000,-11.7
"Luna Lovegood","168712897",17372000,15300000,-2072000,-11.9
"Sgc8647","623292887",12241000,10785000,-1456000,-11.9
"Darțh Ragnarok","848963679",14579000,12600000,-1979000,-13.6
"Rolfey81","727183121",13932000,12000000,-1932000,-13.9
"Mega Cire","172375865",17637500,14940000,-2697500,-15.3
"Noodlehead Jones","918418274",16396000,13620000,-2776000,-16.9
"TK6445","575217765",17575000,14400000,-3175000,-18.1
"tenorman","389543546",15475500,12540000,-2935500,-19
"Remo","617343877",16764500,13500000,-3264500,-19.5
"R3D IX","412684243",15673500,12600000,-3073500,-19.6
"Mol Endinarius","546266818",15971500,12600000,-3371500,-21.1
"Kolin","895636154",17493500,13680000,-3813500,-21.8
"Morgoth","955838368",17438000,13500000,-3938000,-22.6
"Sir3","169971229",14087000,10800000,-3287000,-23.3
"Mini Cire","363639736",16609500,12480000,-4129500,-24.9
"Eilleye","889953137",16874500,12420000,-4454500,-26.4
"Jaqen H'ghar","815768924",14029000,9960000,-4069000,-29
"pikappa","479536574",17204500,11700000,-5504500,-32
"ER DarKnight","782938667",10068500,6540000,-3528500,-35
"uzun4o","385111398",16672500,10800000,-5872500,-35.2
"καρζζ","293117171",16822500,10800000,-6022500,-35.8
"MINI Binho","447521174",16128000,7200000,-8928000,-55.4
"Wladmir","475635164",14211000,6300000,-7911000,-55.7
"ER Darthpolli21","636722576",15023000,6360000,-8663000,-57.7
"Amen","277226677",15113500,6300000,-8813500,-58.3
"onk","927418855",10009500,3600000,-6409500,-64
"soolo","211443325",17637000,6300000,-11337000,-64.3
"Baker","781273553",15997000,3600000,-12397000,-77.5
"Snikers","711328158",16185500,3600000,-12585500,-77.8
"Force Ghost A","247175762",16441500,3600000,-12841500,-78.1
"Lux Aeterna","666342982",17141500,3600000,-13541500,-79
"Charles","561322277",16319000,0,-16319000,-100
"ÐΛЯТHŁФЯÐ","546454824",17587000,0,-17587000,-100
