"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"mountjl","144546612",17395000,18000000,605000,3.5
"Seydaneen","498183781",16682000,17100000,418000,2.5
"CookieCrispp","664316463",17584000,18000000,416000,2.4
"Fraser","754528616",17671000,18000000,329000,1.9
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17793500,18000000,206500,1.2
"Mitth'raw'nuruodo","368945983",14259500,14400000,140500,1
"Leesus de Mol","194491658",14324500,14400000,75500,0.5
"Set Harth","815276889",13075000,13140000,65000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Morgoth","955838368",17433500,17100000,-333500,-1.9
"User1234","255227625",13769000,13440000,-329000,-2.4
"GrievousAndButthead","631836389",15878000,15300000,-578000,-3.6
"Hammo","985188145",13282500,12780000,-502500,-3.8
"Charles","561322277",16318000,15300000,-1018000,-6.2
"Danarius","269662845",15473000,14400000,-1073000,-6.9
"Mega Cire","172375865",17629500,16200000,-1429500,-8.1
"Mol Endinarius","546266818",15964000,14400000,-1564000,-9.8
"Amen","277226677",15095500,13500000,-1595500,-10.6
"slepy","144564766",14135500,12600000,-1535500,-10.9
"Luna Lovegood","168712897",17359000,15300000,-2059000,-11.9
"Eilleye","889953137",16864000,14400000,-2464000,-14.6
"Jaqen H'ghar","815768924",14028500,11940000,-2088500,-14.9
"Rolfey81","727183121",13205500,11100000,-2105500,-15.9
"Sgc8647","623292887",12238500,10290000,-1948500,-15.9
"Noodlehead Jones","918418274",16394500,13680000,-2714500,-16.6
"Kolin","895636154",17494500,14340000,-3154500,-18
"tenorman","389543546",15455500,12660000,-2795500,-18.1
"MINI Gewases Gait","781658169",16719500,13500000,-3219500,-19.3
"Remo","617343877",16765500,13500000,-3265500,-19.5
"Baker","781273553",15990000,12600000,-3390000,-21.2
"Sir3","169971229",14083500,10800000,-3283500,-23.3
"soolo","211443325",17635000,13500000,-4135000,-23.4
"TK6445","575217765",16664500,12600000,-4064500,-24.4
"Snikers","711328158",16176500,12150000,-4026500,-24.9
"pikappa","479536574",17187000,12600000,-4587000,-26.7
"ER Darthpolli21","636722576",15020500,10260000,-4760500,-31.7
"Darțh Ragnarok","848963679",14576500,9900000,-4676500,-32.1
"uzun4o","385111398",16677000,10800000,-5877000,-35.2
"καρζζ","293117171",16818500,10800000,-6018500,-35.8
"R3D IX","412684243",15674000,9900000,-5774000,-36.8
"onk","927418855",10007500,6300000,-3707500,-37
"ER DarKnight","782938667",10071000,5700000,-4371000,-43.4
"Sirdavidsonj","956947937",14737000,8100000,-6637000,-45
"MINI Binho","447521174",16123500,7200000,-8923500,-55.3
"Wladmir","475635164",14198500,6300000,-7898500,-55.6
"Force Ghost A","247175762",16449000,3600000,-12849000,-78.1
"Mini Cire","363639736",16587000,3600000,-12987000,-78.3
"Lux Aeterna","666342982",17119000,3600000,-13519000,-79
"ÐΛЯТHŁФЯÐ","546454824",17576000,0,-17576000,-100
