"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Hammo","985188145",10853500,11400000,546500,5
"mountjl","144546612",17337000,18000000,663000,3.8
"CookieCrispp","664316463",17588500,18000000,411500,2.3
"Fraser","754528616",17635500,18000000,364500,2.1
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17727500,18000000,272500,1.5
"Mol Endinarius","546266818",15956000,16200000,244000,1.5
"Leesus de Mol","194491658",14325000,14400000,75000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Noodlehead Jones","918418274",16362500,16200000,-162500,-1
"Rolfey81","727183121",12125000,11835000,-290000,-2.4
"Mitth'raw'nuruodo","368945983",13874500,13500000,-374500,-2.7
"Seydaneen","498183781",16679000,16200000,-479000,-2.9
"Kyle Katarn OG","124126581",16720500,16110000,-610500,-3.7
"MINI Gewases Gait","781658169",16695500,16080000,-615500,-3.7
"Darțh Ragnarok","848963679",14108500,13470000,-638500,-4.5
"Danarius","269662845",15418500,14400000,-1018500,-6.6
"Set Harth","815276889",13060500,12015000,-1045500,-8
"Charles","561322277",16292500,14895000,-1397500,-8.6
"TK6445","575217765",16043500,14400000,-1643500,-10.2
"Trent","382196579",15425500,13800000,-1625500,-10.5
"pikappa","479536574",14063500,12480000,-1583500,-11.3
"Amen","277226677",13315500,11640000,-1675500,-12.6
"tenorman","389543546",15234000,13170000,-2064000,-13.5
"Creative HD","368777242",15973000,13800000,-2173000,-13.6
"Morgoth","955838368",17394000,14400000,-2994000,-17.2
"Kolin","895636154",17485500,14400000,-3085500,-17.6
"Ricky","152984781",16497000,13500000,-2997000,-18.2
"MINI Binho","447521174",15598000,12600000,-2998000,-19.2
"Remo","617343877",16739000,13500000,-3239000,-19.4
"Eilleye","889953137",16873500,13500000,-3373500,-20
"Luna Lovegood","168712897",17325000,13800000,-3525000,-20.3
"slepy","144564766",13610000,10800000,-2810000,-20.6
"Baker","781273553",15983000,12600000,-3383000,-21.2
"uzun4o","385111398",16034500,12600000,-3434500,-21.4
"Cire","363639736",15805000,12315000,-3490000,-22.1
"Sir3","169971229",14068000,10800000,-3268000,-23.2
"Maverick","986347788",16907000,12860000,-4047000,-23.9
"Force Ghost A","247175762",14639000,10800000,-3839000,-26.2
"Snikers","711328158",12698500,9015000,-3683500,-29
"καρζζ","293117171",15255000,10410000,-4845000,-31.8
"Sirdavidsonj","956947937",14057500,9000000,-5057500,-36
"Forfs","172375865",17628000,10800000,-6828000,-38.7
"ÐΛЯТHŁФЯÐ","546454824",17569500,10320000,-7249500,-41.3
"Wladmir","475635164",13616000,5265000,-8351000,-61.3
"onk","927418855",9408000,3600000,-5808000,-61.7
"DarthCiiid'r","364518768",13876500,3600000,-10276500,-74.1
"MΔWSΔssin","534823566",15474500,3600000,-11874500,-76.7
"Lux Aeterna","666342982",17058000,3600000,-13458000,-78.9
"soolo","211443325",17369500,3600000,-13769500,-79.3
"R3D IX","412684243",15463500,2700000,-12763500,-82.5
