"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"pikappa","479536574",6163500,7500000,1336500,21.7
"Mitth'raw'nuruodo","368945983",11361000,13500000,2139000,18.8
"Force Ghost A","247175762",10512000,12150000,1638000,15.6
"Remo","617343877",13250500,15300000,2049500,15.5
"Seydaneen","498183781",10771500,12300000,1528500,14.2
"uzun4o","385111398",9219500,10500000,1280500,13.9
"Noodlehead Jones","918418274",11631500,13200000,1568500,13.5
"Morgoth","955838368",14313000,16200000,1887000,13.2
"Fraser","754528616",16049000,18000000,1951000,12.2
"mountjl","144546612",13137500,14700000,1562500,11.9
"MINI Gewases Gait","781658169",14540000,16200000,1660000,11.4
"Eilleye","889953137",12170500,13500000,1329500,10.9
"CookieCrispp","664316463",16258500,18000000,1741500,10.7
"Kolin","895636154",16332500,18000000,1667500,10.2
"Mol Endinarius","546266818",10082500,11100000,1017500,10.1
"ÐΛЯТHŁФЯÐ","546454824",14751500,16200000,1448500,9.8
"Snikers","711328158",8026000,8805000,779000,9.7
"Klesk","548477854",10261500,11220000,958500,9.3
"Forfs","172375865",16389500,17880000,1490500,9.1
"Danarius","269662845",9833500,10575000,741500,7.5
"R3D IX","412684243",12167000,13050000,883000,7.3
"Amen","277226677",11850500,12600000,749500,6.3
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17118000,18000000,882000,5.2
"Sir3","169971229",10583500,11100000,516500,4.9
"καρζζ","293117171",11698000,12048750,350750,3
"soolo","211443325",15702500,16080000,377500,2.4
"Leesus de Mol","194491658",8510000,8700000,190000,2.2
"MINI Binho","447521174",13177500,13335000,157500,1.2
"Dai Ren Jinn","679424677",17988000,18000000,12000,0.1
"onk","927418855",5514500,5482500,-32000,-0.6
"Iɳʋιƚαԃσ","887886159",15648000,15135000,-513000,-3.3
"Charles","561322277",13972500,13500000,-472500,-3.4
"Baker","781273553",13147500,12600000,-547500,-4.2
"Koloch","564228343",14868000,13365000,-1503000,-10.1
"Jaybee Ω","517227322",12124500,10740000,-1384500,-11.4
"Set Harth","815276889",6261000,5512500,-748500,-12
"tenorman","389543546",8713500,7537500,-1176000,-13.5
"MΔWSΔssin","534823566",10479000,9000000,-1479000,-14.1
"Lux Aeterna","666342982",14564500,12480000,-2084500,-14.3
"slepy","144564766",7374000,6135000,-1239000,-16.8
"TK6445","575217765",7584000,6300000,-1284000,-16.9
"Kyle Katarn OG","124126581",14175500,11700000,-2475500,-17.5
"Luna Lovegood","168712897",11233500,8870000,-2363500,-21
"DarthCiiid'r","364518768",4575500,3300000,-1275500,-27.9
"Wladmir","475635164",6319000,4420000,-1899000,-30.1
"Darțh Ragnarok","848963679",9715000,6300000,-3415000,-35.2
"Sirdavidsonj","956947937",6957500,2700000,-4257500,-61.2
"QuiGonJin","658131841",14453500,3600000,-10853500,-75.1
"Creative HD","368777242",7214000,0,-7214000,-100
