"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Hammo","985188145",13303000,14400000,1097000,8.2
"Set Harth","815276889",13080000,13815000,735000,5.6
"darthsunon","379234773",14557500,15300000,742500,5.1
"Force Ghost A","247175762",16474000,17100000,626000,3.8
"mountjl","144546612",17415000,18000000,585000,3.4
"Seydaneen","498183781",16689500,17100000,410500,2.5
"Fraser","754528616",17692000,18000000,308000,1.7
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17804500,18000000,195500,1.1
"Leesus de Mol","194491658",14324000,14400000,76000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Skyrunner","496743755",14548000,,,
"Morgoth","955838368",17443000,17100000,-343000,-2
"Sirdavidsonj","956947937",14740500,14400000,-340500,-2.3
"GrievousAndButthead","631836389",15885500,15300000,-585500,-3.7
"User1234","255227625",13921000,13380000,-541000,-3.9
"Danarius","269662845",15476000,14400000,-1076000,-7
"Amen","277226677",15123000,13500000,-1623000,-10.7
"slepy","144564766",14144000,12600000,-1544000,-10.9
"Mitth'raw'nuruodo","368945983",14263500,12600000,-1663500,-11.7
"Luna Lovegood","168712897",17376500,15300000,-2076500,-12
"Rolfey81","727183121",13929000,12000000,-1929000,-13.8
"Eilleye","889953137",16876500,14400000,-2476500,-14.7
"Sgc8647","623292887",12240000,10365000,-1875000,-15.3
"Mega Cire","172375865",17643500,14880000,-2763500,-15.7
"Noodlehead Jones","918418274",16397500,13500000,-2897500,-17.7
"tenorman","389543546",15478500,12675000,-2803500,-18.1
"TK6445","575217765",17577000,14400000,-3177000,-18.1
"CookieCrispp","664316463",17601000,14400000,-3201000,-18.2
"Remo","617343877",16765000,13500000,-3265000,-19.5
"Darțh Ragnarok","848963679",14581000,11700000,-2881000,-19.8
"Kolin","895636154",17494500,13860000,-3634500,-20.8
"Mol Endinarius","546266818",15974000,12600000,-3374000,-21.1
"MINI Gewases Gait","781658169",16755500,12900000,-3855500,-23
"Sir3","169971229",14088000,10800000,-3288000,-23.3
"soolo","211443325",17640500,13500000,-4140500,-23.5
"MINI Binho","447521174",16129500,12150000,-3979500,-24.7
"Baker","781273553",16898000,12600000,-4298000,-25.4
"Mini Cire","363639736",16633000,12240000,-4393000,-26.4
"ER DarKnight","782938667",10079500,6840000,-3239500,-32.1
"uzun4o","385111398",16674000,10800000,-5874000,-35.2
"καρζζ","293117171",16820500,10800000,-6020500,-35.8
"pikappa","479536574",17699000,10800000,-6899000,-39
"ER Darthpolli21","636722576",15021500,7200000,-7821500,-52.1
"R3D IX","412684243",15673500,7200000,-8473500,-54.1
"Wladmir","475635164",14223000,6300000,-7923000,-55.7
"Snikers","711328158",16201500,6960000,-9241500,-57
"Lux Aeterna","666342982",17153000,7200000,-9953000,-58
"onk","927418855",10009000,3600000,-6409000,-64
"ÐΛЯТHŁФЯÐ","546454824",17589000,3600000,-13989000,-79.5
