"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Grego Ren","324585528",9724000,10800000,1076000,11.1
"quentin","547933286",12000000,12600000,600000,5
"三 syìng 三","786841145",17148500,18000000,851500,5
"Hammo","985188145",13759000,14310000,551000,4
"mountjl","144546612",17485500,18000000,514500,2.9
"Seydaneen","498183781",16746500,17100000,353500,2.1
"Fraser","754528616",17717000,18000000,283000,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17832000,18000000,168000,0.9
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Set Harth","815276889",13640500,13590000,-50500,-0.4
"XxSimplyDEVOxX","684798227",11788500,11700000,-88500,-0.8
"Morgoth","955838368",17520500,17100000,-420500,-2.4
"Skyrunner","496743755",14631000,14220000,-411000,-2.8
"soolo","211443325",17647500,17100000,-547500,-3.1
"Sirdavidsonj","956947937",14767500,14085000,-682500,-4.6
"XxSimplySHAZAMxX","286997594",10023500,9520000,-503500,-5
"Danarius","269662845",15566000,14400000,-1166000,-7.5
"Cuttymax","536242193",13691500,12600000,-1091500,-8
"Amen","277226677",15147500,13500000,-1647500,-10.9
"slepy","144564766",14166500,12600000,-1566500,-11.1
"Luna Lovegood","168712897",17449500,15255000,-2194500,-12.6
"Eilleye","889953137",16884000,14400000,-2484000,-14.7
"MINI Binho","447521174",16144500,13500000,-2644500,-16.4
"ψhαяρσση","722454792",17358500,14400000,-2958500,-17
"Kolin","895636154",17514500,14400000,-3114500,-17.8
"TK6445","575217765",17602500,14400000,-3202500,-18.2
"CookieCrispp","664316463",17619500,14400000,-3219500,-18.3
"Leesus de Mol","194491658",14317000,11700000,-2617000,-18.3
"Sgc8647","623292887",13882500,11205000,-2677500,-19.3
"tenorman","389543546",15531500,12540000,-2991500,-19.3
"MINI Gewases Gait","781658169",16783500,13500000,-3283500,-19.6
"Mol Endinarius","546266818",15988500,12600000,-3388500,-21.2
"Noodlehead Jones","918418274",16443000,12600000,-3843000,-23.4
"Sir3","169971229",14105500,10800000,-3305500,-23.4
"User1234","255227625",16739500,12600000,-4139500,-24.7
"Baker","781273553",16927000,12600000,-4327000,-25.6
"GrievousAndButthead","631836389",15913500,10800000,-5113500,-32.1
"καρζζ","293117171",16838500,10800000,-6038500,-35.9
"R3D IX","412684243",15702500,7200000,-8502500,-54.1
"XxSimplyPOLOxX","336473447",14984500,6780000,-8204500,-54.8
"Darțh Ragnarok","848963679",16010000,7200000,-8810000,-55
"Rolfey81","727183121",14255000,6300000,-7955000,-55.8
"Lux Aeterna","666342982",17244000,7200000,-10044000,-58.2
"Mega Cire","172375865",17678500,7200000,-10478500,-59.3
"onk","927418855",10007000,3600000,-6407000,-64
"Vxx","529988212",15698500,5400000,-10298500,-65.6
"Wladmir","475635164",14265500,3600000,-10665500,-74.8
"Force Ghost A","247175762",16488500,3600000,-12888500,-78.2
"Remo","617343877",16768000,3600000,-13168000,-78.5
"Mitth'raw'nuruodo","368945983",14288000,0,-14288000,-100
