"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Force Ghost A","247175762",12228000,13500000,1272000,10.4
"Morgoth","955838368",14718500,16200000,1481500,10.1
"Remo","617343877",15622500,17100000,1477500,9.5
"Mitth'raw'nuruodo","368945983",11542500,12600000,1057500,9.2
"Seydaneen","498183781",14007500,15300000,1292500,9.2
"Danarius","269662845",12682500,13365000,682500,5.4
"Noodlehead Jones","918418274",13272000,13845000,573000,4.3
"Fraser","754528616",17270500,18000000,729500,4.2
"Hammo","985188145",10101500,10500000,398500,3.9
"Amen","277226677",12171000,12600000,429000,3.5
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17406000,18000000,594000,3.4
"CookieCrispp","664316463",17498000,18000000,502000,2.9
"Ṃøł Ĕłįžå","116138833",17515000,18000000,485000,2.8
"MINI Binho","447521174",14906500,15300000,393500,2.6
"slepy","144564766",10619000,10800000,181000,1.7
"Ricky","152984781",13309000,13500000,191000,1.4
"Mol Endinarius","546266818",13312000,13380000,68000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"mountjl","144546612",15506500,,,
"Cire","363639736",13971000,13920000,-51000,-0.4
"TK6445","575217765",11453000,11400000,-53000,-0.5
"Charles","561322277",15521500,15300000,-221500,-1.4
"Leesus de Mol","194491658",10682500,10500000,-182500,-1.7
"Eilleye","889953137",14172500,13440000,-732500,-5.2
"Baker","781273553",13339000,12600000,-739000,-5.5
"Lux Aeterna","666342982",16308500,15380000,-928500,-5.7
"pikappa","479536574",13220000,12300000,-920000,-7
"Trent","382196579",12990500,12030000,-960500,-7.4
"onk","927418855",7200000,6600000,-600000,-8.3
"uzun4o","385111398",14762000,13500000,-1262000,-8.5
"Creative HD","368777242",12745000,11580000,-1165000,-9.1
"MΔWSΔssin","534823566",12744000,11580000,-1164000,-9.1
"Sir3","169971229",12949500,11700000,-1249500,-9.6
"Kolin","895636154",16483000,14400000,-2083000,-12.6
"MINI Gewases Gait","781658169",15639000,13380000,-2259000,-14.4
"Forfs","172375865",16886500,14400000,-2486500,-14.7
"Kyle Katarn OG","124126581",15851500,13500000,-2351500,-14.8
"Set Harth","815276889",11772500,10035000,-1737500,-14.8
"tenorman","389543546",13169500,11130000,-2039500,-15.5
"Darțh Ragnarok","848963679",12765500,10440000,-2325500,-18.2
"Luna Lovegood","168712897",15124000,12210000,-2914000,-19.3
"DarthCiiid'r","364518768",10499500,7920000,-2579500,-24.6
"Sirdavidsonj","956947937",12502000,9000000,-3502000,-28
"Snikers","711328158",11989500,8325000,-3664500,-30.6
"Wladmir","475635164",10309000,6885000,-3424000,-33.2
"R3D IX","412684243",14166500,9390000,-4776500,-33.7
"καρζζ","293117171",13331000,6300000,-7031000,-52.7
"ÐΛЯТHŁФЯÐ","546454824",16509500,3600000,-12909500,-78.2
"soolo","211443325",16396500,2700000,-13696500,-83.5
"Klesk","548477854",11810000,0,-11810000,-100
