"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Grego Ren","324585528",9482500,10800000,1317500,13.9
"quentin","547933286",12000000,12600000,600000,5
"三 syìng 三","786841145",17147000,18000000,853000,5
"Hammo","985188145",13754500,14280000,525500,3.8
"mountjl","144546612",17482500,18000000,517500,3
"Seydaneen","498183781",16748000,17100000,352000,2.1
"Fraser","754528616",17718000,18000000,282000,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17833000,18000000,167000,0.9
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"XxSimplyDEVOxX","684798227",11787000,11700000,-87000,-0.7
"Skyrunner","496743755",14631000,14400000,-231000,-1.6
"Morgoth","955838368",17522000,17100000,-422000,-2.4
"soolo","211443325",17649500,17100000,-549500,-3.1
"Danarius","269662845",15565000,14355000,-1210000,-7.8
"Cuttymax","536242193",13688500,12600000,-1088500,-8
"Set Harth","815276889",13640500,12510000,-1130500,-8.3
"XxSimplySHAZAMxX","286997594",10022500,8980000,-1042500,-10.4
"Amen","277226677",15149000,13500000,-1649000,-10.9
"slepy","144564766",14167000,12600000,-1567000,-11.1
"Mitth'raw'nuruodo","368945983",14288000,12600000,-1688000,-11.8
"Eilleye","889953137",16876500,14400000,-2476500,-14.7
"GrievousAndButthead","631836389",15914500,13500000,-2414500,-15.2
"MINI Binho","447521174",16144500,13500000,-2644500,-16.4
"ψhαяρσση","722454792",17354000,14400000,-2954000,-17
"MINI Gewases Gait","781658169",16783500,13905000,-2878500,-17.2
"Kolin","895636154",17514500,14400000,-3114500,-17.8
"TK6445","575217765",17599500,14400000,-3199500,-18.2
"CookieCrispp","664316463",17619500,14400000,-3219500,-18.3
"Leesus de Mol","194491658",14317500,11700000,-2617500,-18.3
"Mega Cire","172375865",17677500,14280000,-3397500,-19.2
"tenorman","389543546",15530000,12540000,-2990000,-19.3
"Remo","617343877",16768500,13500000,-3268500,-19.5
"Vxx","529988212",15713500,12600000,-3113500,-19.8
"Mol Endinarius","546266818",15987000,12600000,-3387000,-21.2
"Sgc8647","623292887",13884000,10905000,-2979000,-21.5
"Darțh Ragnarok","848963679",16010000,12375000,-3635000,-22.7
"Sir3","169971229",14105500,10800000,-3305500,-23.4
"Baker","781273553",16925500,12600000,-4325500,-25.6
"User1234","255227625",16718500,12330000,-4388500,-26.2
"Noodlehead Jones","918418274",16442500,10800000,-5642500,-34.3
"XxSimplyPOLOxX","336473447",14981000,6660000,-8321000,-55.5
"Rolfey81","727183121",14254000,6300000,-7954000,-55.8
"Wladmir","475635164",14263500,6300000,-7963500,-55.8
"καρζζ","293117171",16837500,7200000,-9637500,-57.2
"onk","927418855",10006500,3600000,-6406500,-64
"Sirdavidsonj","956947937",14768500,3600000,-11168500,-75.6
"R3D IX","412684243",15702500,3600000,-12102500,-77.1
"Force Ghost A","247175762",16490000,3600000,-12890000,-78.2
"Lux Aeterna","666342982",17233500,3600000,-13633500,-79.1
"Luna Lovegood","168712897",17445500,2655000,-14790500,-84.8
