"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Vxx","529988212",13183500,14400000,1216500,9.2
"三 syìng 三","786841145",17117000,18000000,883000,5.2
"quentin","547933286",11997000,12600000,603000,5
"mountjl","144546612",17451500,18000000,548500,3.1
"Seydaneen","498183781",16718500,17100000,381500,2.3
"Fraser","754528616",17718500,18000000,281500,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17820500,18000000,179500,1
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"ψhαяρσση","722454792",17326000,16980000,-346000,-2
"Set Harth","815276889",13640500,13230000,-410500,-3
"soolo","211443325",17651000,17100000,-551000,-3.1
"GrievousAndButthead","631836389",15887500,15300000,-587500,-3.7
"Skyrunner","496743755",14625500,14085000,-540500,-3.7
"Sirdavidsonj","956947937",14756500,14175000,-581500,-3.9
"SlickRick","496858716",16200000,15300000,-900000,-5.6
"Danarius","269662845",15511000,14400000,-1111000,-7.2
"Hammo","985188145",13740000,12510000,-1230000,-9
"Amen","277226677",15124500,13500000,-1624500,-10.7
"slepy","144564766",14148000,12600000,-1548000,-10.9
"Mitth'raw'nuruodo","368945983",14270000,12600000,-1670000,-11.7
"Darțh Ragnarok","848963679",16003000,14070000,-1933000,-12.1
"Rolfey81","727183121",13945000,11900000,-2045000,-14.7
"Noodlehead Jones","918418274",16433000,13660000,-2773000,-16.9
"TK6445","575217765",17586000,14400000,-3186000,-18.1
"CookieCrispp","664316463",17603000,14400000,-3203000,-18.2
"tenorman","389543546",15497500,12600000,-2897500,-18.7
"Remo","617343877",16768500,13500000,-3268500,-19.5
"Kolin","895636154",17507500,14040000,-3467500,-19.8
"User1234","255227625",15830500,12600000,-3230500,-20.4
"Eilleye","889953137",16880500,13380000,-3500500,-20.7
"Mol Endinarius","546266818",15977000,12600000,-3377000,-21.1
"Sgc8647","623292887",13868000,10755000,-3113000,-22.4
"Morgoth","955838368",17478500,13500000,-3978500,-22.8
"Sir3","169971229",14094500,10800000,-3294500,-23.4
"MINI Gewases Gait","781658169",16766500,12600000,-4166500,-24.9
"Baker","781273553",16910000,12600000,-4310000,-25.5
"Mega Cire","172375865",17660000,12300000,-5360000,-30.4
"Leesus de Mol","194491658",14323000,9900000,-4423000,-30.9
"Force Ghost A","247175762",16487500,10800000,-5687500,-34.5
"καρζζ","293117171",16828500,10800000,-6028500,-35.8
"pikappa","479536574",17712000,10800000,-6912000,-39
"Luna Lovegood","168712897",17410500,10380000,-7030500,-40.4
"R3D IX","412684243",15699500,7200000,-8499500,-54.1
"MINI Binho","447521174",16133000,7200000,-8933000,-55.4
"uzun4o","385111398",16694500,7200000,-9494500,-56.9
"Lux Aeterna","666342982",17193000,7200000,-9993000,-58.1
"onk","927418855",10008500,3600000,-6408500,-64
"ER DarKnight","782938667",10076500,3600000,-6476500,-64.3
"Wladmir","475635164",14245000,3600000,-10645000,-74.7
"ER Darthpolli21","636722576",15012500,3600000,-11412500,-76
