"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Force Ghost A","247175762",12227000,13860000,1633000,13.4
"Noodlehead Jones","918418274",13275500,14715000,1439500,10.8
"mountjl","144546612",15517500,17100000,1582500,10.2
"Seydaneen","498183781",14014500,15300000,1285500,9.2
"Danarius","269662845",12680500,13800000,1119500,8.8
"Forfs","172375865",16885000,17640000,755000,4.5
"Fraser","754528616",17275500,18000000,724500,4.2
"Klesk","548477854",11811500,12300000,488500,4.1
"Hammo","985188145",10103500,10500000,396500,3.9
"Amen","277226677",12183500,12600000,416500,3.4
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17402000,18000000,598000,3.4
"Remo","617343877",15624000,16140000,516000,3.3
"CookieCrispp","664316463",17499000,18000000,501000,2.9
"Ṃøł Ĕłįžå","116138833",17519500,18000000,480500,2.7
"pikappa","479536574",13226000,13500000,274000,2.1
"slepy","144564766",10618500,10800000,181500,1.7
"TK6445","575217765",12090500,12300000,209500,1.7
"Eilleye","889953137",14172500,14400000,227500,1.6
"Ricky","152984781",13287000,13500000,213000,1.6
"Sirdavidsonj","956947937",12757500,12900000,142500,1.1
"Trent","382196579",13063500,13110000,46500,0.4
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"MINI Binho","447521174",15570000,15420000,-150000,-1
"Charles","561322277",15530000,15300000,-230000,-1.5
"Leesus de Mol","194491658",11282000,11100000,-182000,-1.6
"Cire","363639736",13974500,13740000,-234500,-1.7
"soolo","211443325",16612500,16200000,-412500,-2.5
"MINI Gewases Gait","781658169",15639000,15240000,-399000,-2.6
"Baker","781273553",13340000,12600000,-740000,-5.5
"uzun4o","385111398",14764000,13500000,-1264000,-8.6
"Set Harth","815276889",11773000,10455000,-1318000,-11.2
"Kolin","895636154",16475000,14400000,-2075000,-12.6
"Sir3","169971229",12950500,11250000,-1700500,-13.1
"Mitth'raw'nuruodo","368945983",11608500,9900000,-1708500,-14.7
"Kyle Katarn OG","124126581",15852500,13500000,-2352500,-14.8
"Darțh Ragnarok","848963679",12764500,10800000,-1964500,-15.4
"Creative HD","368777242",12743500,10620000,-2123500,-16.7
"Mol Endinarius","546266818",13316000,10800000,-2516000,-18.9
"Luna Lovegood","168712897",15129000,12180000,-2949000,-19.5
"ÐΛЯТHŁФЯÐ","546454824",16507500,12765000,-3742500,-22.7
"DarthCiiid'r","364518768",10578500,7860000,-2718500,-25.7
"καρζζ","293117171",13329000,9900000,-3429000,-25.7
"tenorman","389543546",13171500,9720000,-3451500,-26.2
"onk","927418855",7200000,5100000,-2100000,-29.2
"Wladmir","475635164",11109500,6480000,-4629500,-41.7
"R3D IX","412684243",14169000,7200000,-6969000,-49.2
"Morgoth","955838368",14755500,7200000,-7555500,-51.2
"Snikers","711328158",11985500,3600000,-8385500,-70
"Lux Aeterna","666342982",16311500,3600000,-12711500,-77.9
"MΔWSΔssin","534823566",12746000,0,-12746000,-100
