"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"三 syìng 三","786841145",17128500,18000000,871500,5.1
"quentin","547933286",12000000,12600000,600000,5
"Force Ghost A","247175762",16481000,17100000,619000,3.8
"Seydaneen","498183781",16724000,17100000,376000,2.2
"Fraser","754528616",17717500,18000000,282500,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17832000,18000000,168000,0.9
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Grego Ren","324585528",9464000,,,
"ψhαяρσση","722454792",17331500,17100000,-231500,-1.3
"Skyrunner","496743755",14620500,14310000,-310500,-2.1
"Morgoth","955838368",17485500,17100000,-385500,-2.2
"mountjl","144546612",17466500,17040000,-426500,-2.4
"Sirdavidsonj","956947937",14760000,14400000,-360000,-2.4
"Set Harth","815276889",13639000,13230000,-409000,-3
"soolo","211443325",17651500,17100000,-551500,-3.1
"Danarius","269662845",15526500,14400000,-1126500,-7.3
"Amen","277226677",15115000,13500000,-1615000,-10.7
"slepy","144564766",14157000,12600000,-1557000,-11
"Mitth'raw'nuruodo","368945983",14281500,12600000,-1681500,-11.8
"Eilleye","889953137",16879500,14400000,-2479500,-14.7
"Luna Lovegood","168712897",17437000,14850000,-2587000,-14.8
"GrievousAndButthead","631836389",15897000,13500000,-2397000,-15.1
"CookieCrispp","664316463",17612000,14400000,-3212000,-18.2
"Leesus de Mol","194491658",14318500,11700000,-2618500,-18.3
"tenorman","389543546",15515500,12600000,-2915500,-18.8
"TK6445","575217765",17593500,14220000,-3373500,-19.2
"Remo","617343877",16768500,13500000,-3268500,-19.5
"Vxx","529988212",15669500,12540000,-3129500,-20
"MINI Binho","447521174",16140000,12825000,-3315000,-20.5
"Mol Endinarius","546266818",15980500,12600000,-3380500,-21.2
"Darțh Ragnarok","848963679",16007500,12600000,-3407500,-21.3
"Kolin","895636154",17510500,13680000,-3830500,-21.9
"Sgc8647","623292887",13871000,10695000,-3176000,-22.9
"Sir3","169971229",14090000,10800000,-3290000,-23.3
"User1234","255227625",16677500,12450000,-4227500,-25.3
"Baker","781273553",16917500,12600000,-4317500,-25.5
"MINI Gewases Gait","781658169",16770500,11280000,-5490500,-32.7
"Noodlehead Jones","918418274",16427000,10800000,-5627000,-34.3
"καρζζ","293117171",16828000,10800000,-6028000,-35.8
"pikappa","479536574",17716000,10800000,-6916000,-39
"R3D IX","412684243",15700000,7200000,-8500000,-54.1
"Rolfey81","727183121",14248000,6300000,-7948000,-55.8
"Wladmir","475635164",14247000,6300000,-7947000,-55.8
"Lux Aeterna","666342982",17213500,7200000,-10013500,-58.2
"onk","927418855",10008000,3600000,-6408000,-64
"ER DarKnight","782938667",10374000,3600000,-6774000,-65.3
"Hammo","985188145",13743500,3600000,-10143500,-73.8
"ER Darthpolli21","636722576",15012500,3600000,-11412500,-76
"Mega Cire","172375865",17667500,3600000,-14067500,-79.6
"Glurmit","328546958",17860500,0,-17860500,-100
