"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Trent","382196579",14607500,16200000,1592500,10.9
"Morgoth","955838368",16243500,18000000,1756500,10.8
"mountjl","144546612",15525000,17100000,1575000,10.1
"Force Ghost A","247175762",12228500,13365000,1136500,9.3
"Seydaneen","498183781",14019000,15300000,1281000,9.1
"Danarius","269662845",13278500,14400000,1121500,8.4
"soolo","211443325",16611000,18000000,1389000,8.4
"Mol Endinarius","546266818",13317500,14400000,1082500,8.1
"Forfs","172375865",16887500,18000000,1112500,6.6
"Creative HD","368777242",12742000,13540000,798000,6.3
"Ricky","152984781",14996000,15885000,889000,5.9
"onk","927418855",7200000,7500000,300000,4.2
"Fraser","754528616",17295000,18000000,705000,4.1
"Klesk","548477854",11811000,12300000,489000,4.1
"Hammo","985188145",10108000,10500000,392000,3.9
"Noodlehead Jones","918418274",13275500,13785000,509500,3.8
"CookieCrispp","664316463",17500000,18000000,500000,2.9
"Ṃøł Ĕłįžå","116138833",17537000,18000000,463000,2.6
"pikappa","479536574",13228500,13500000,271500,2.1
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17687500,18000000,312500,1.8
"Eilleye","889953137",14157000,14400000,243000,1.7
"Sirdavidsonj","956947937",12758000,12900000,142000,1.1
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"slepy","144564766",10920500,10800000,-120500,-1.1
"Set Harth","815276889",11819000,11415000,-404000,-3.4
"Charles","561322277",15527500,14895000,-632500,-4.1
"Leesus de Mol","194491658",11626500,11100000,-526500,-4.5
"Kyle Katarn OG","124126581",15859500,14760000,-1099500,-6.9
"tenorman","389543546",13171500,12090000,-1081500,-8.2
"uzun4o","385111398",14763000,13500000,-1263000,-8.6
"Kolin","895636154",16479500,14400000,-2079500,-12.6
"Remo","617343877",15624500,13500000,-2124500,-13.6
"MINI Gewases Gait","781658169",15637000,13380000,-2257000,-14.4
"Cire","363639736",15138500,12945000,-2193500,-14.5
"Baker","781273553",14935000,12600000,-2335000,-15.6
"Sir3","169971229",12954000,10800000,-2154000,-16.6
"TK6445","575217765",12156500,9900000,-2256500,-18.6
"Luna Lovegood","168712897",15131500,12255000,-2876500,-19
"Amen","277226677",12182000,9000000,-3182000,-26.1
"Snikers","711328158",11987000,8625000,-3362000,-28
"DarthCiiid'r","364518768",12154500,8660000,-3494500,-28.8
"Darțh Ragnarok","848963679",12768000,9000000,-3768000,-29.5
"MINI Binho","447521174",15579500,9900000,-5679500,-36.5
"ÐΛЯТHŁФЯÐ","546454824",16521500,10320000,-6201500,-37.5
"R3D IX","412684243",14164000,8550000,-5614000,-39.6
"Mitth'raw'nuruodo","368945983",11575500,4500000,-7075500,-61.1
"Wladmir","475635164",11112500,2700000,-8412500,-75.7
"Lux Aeterna","666342982",16319000,3540000,-12779000,-78.3
"καρζζ","293117171",13325500,2700000,-10625500,-79.7
"MΔWSΔssin","534823566",14653500,0,-14653500,-100
