"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"三 syìng 三","786841145",17127000,18000000,873000,5.1
"quentin","547933286",12000000,12600000,600000,5
"Hammo","985188145",13743000,14400000,657000,4.8
"Force Ghost A","247175762",16482000,17100000,618000,3.7
"mountjl","144546612",17459500,18000000,540500,3.1
"Seydaneen","498183781",16723000,17100000,377000,2.3
"Fraser","754528616",17717500,18000000,282500,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17827500,18000000,172500,1
"Leesus de Mol","194491658",14318500,14400000,81500,0.6
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Glurmit","328546958",17860500,,,
"Skyrunner","496743755",14622000,14400000,-222000,-1.5
"ψhαяρσση","722454792",17329000,17040000,-289000,-1.7
"Morgoth","955838368",17486000,17100000,-386000,-2.2
"Set Harth","815276889",13638500,13320000,-318500,-2.3
"soolo","211443325",17652500,17100000,-552500,-3.1
"GrievousAndButthead","631836389",15893500,15300000,-593500,-3.7
"Danarius","269662845",15523500,14400000,-1123500,-7.2
"Darțh Ragnarok","848963679",16005500,14760000,-1245500,-7.8
"slepy","144564766",14157000,12600000,-1557000,-11
"Mitth'raw'nuruodo","368945983",14279000,12600000,-1679000,-11.8
"Eilleye","889953137",16883000,14400000,-2483000,-14.7
"Noodlehead Jones","918418274",16428000,13700000,-2728000,-16.6
"TK6445","575217765",17590500,14400000,-3190500,-18.1
"CookieCrispp","664316463",17612000,14400000,-3212000,-18.2
"Mega Cire","172375865",17666500,14340000,-3326500,-18.8
"tenorman","389543546",15509000,12600000,-2909000,-18.8
"Remo","617343877",16768500,13500000,-3268500,-19.5
"Sirdavidsonj","956947937",14758500,11700000,-3058500,-20.7
"Kolin","895636154",17507500,13860000,-3647500,-20.8
"Mol Endinarius","546266818",15980000,12600000,-3380000,-21.2
"Sgc8647","623292887",13871000,10905000,-2966000,-21.4
"Luna Lovegood","168712897",17427000,13500000,-3927000,-22.5
"MINI Gewases Gait","781658169",16770500,12900000,-3870500,-23.1
"Sir3","169971229",14094500,10800000,-3294500,-23.4
"Vxx","529988212",14124000,10800000,-3324000,-23.5
"User1234","255227625",16667000,12540000,-4127000,-24.8
"Baker","781273553",16915000,12600000,-4315000,-25.5
"Rolfey81","727183121",13995500,9900000,-4095500,-29.3
"καρζζ","293117171",16828500,10800000,-6028500,-35.8
"pikappa","479536574",17716500,10320000,-7396500,-41.7
"R3D IX","412684243",15700500,7200000,-8500500,-54.1
"MINI Binho","447521174",16136500,7200000,-8936500,-55.4
"Amen","277226677",15118000,6300000,-8818000,-58.3
"onk","927418855",10008000,3600000,-6408000,-64
"ER DarKnight","782938667",10374000,3600000,-6774000,-65.3
"Wladmir","475635164",14246000,3600000,-10646000,-74.7
"ER Darthpolli21","636722576",15012500,3600000,-11412500,-76
"Lux Aeterna","666342982",17205000,3600000,-13605000,-79.1
"uzun4o","385111398",16693500,0,-16693500,-100
