"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Trent","382196579",14607500,16200000,1592500,10.9
"Remo","617343877",15622500,17100000,1477500,9.5
"MINI Gewases Gait","781658169",15640000,17100000,1460000,9.3
"Seydaneen","498183781",14021000,15300000,1279000,9.1
"Danarius","269662845",12682000,13800000,1118000,8.8
"Noodlehead Jones","918418274",13276500,13845000,568500,4.3
"Fraser","754528616",17288500,18000000,711500,4.1
"mountjl","144546612",15522500,16140000,617500,4
"Hammo","985188145",10107000,10500000,393000,3.9
"Forfs","172375865",16889500,17520000,630500,3.7
"CookieCrispp","664316463",17497000,18000000,503000,2.9
"Ṃøł Ĕłįžå","116138833",17536000,18000000,464000,2.6
"soolo","211443325",16615000,16980000,365000,2.2
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17687500,18000000,312500,1.8
"Eilleye","889953137",14172000,14400000,228000,1.6
"Ricky","152984781",15033500,15270000,236500,1.6
"Mol Endinarius","546266818",13318000,13500000,182000,1.4
"Creative HD","368777242",12743000,12800000,57000,0.4
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"MINI Binho","447521174",15572000,15420000,-152000,-1
"slepy","144564766",10921500,10800000,-121500,-1.1
"Charles","561322277",15524500,15300000,-224500,-1.4
"Set Harth","815276889",11819000,11565000,-254000,-2.1
"Force Ghost A","247175762",12229000,11835000,-394000,-3.2
"TK6445","575217765",12157000,11700000,-457000,-3.8
"Leesus de Mol","194491658",11618000,11100000,-518000,-4.5
"pikappa","479536574",13231500,12600000,-631500,-4.8
"Baker","781273553",13342000,12600000,-742000,-5.6
"Kyle Katarn OG","124126581",15854500,14940000,-914500,-5.8
"uzun4o","385111398",14761000,13500000,-1261000,-8.5
"Morgoth","955838368",16243500,14400000,-1843500,-11.3
"Cire","363639736",13980500,12300000,-1680500,-12
"onk","927418855",7200000,6300000,-900000,-12.5
"Kolin","895636154",16481000,14400000,-2081000,-12.6
"Mitth'raw'nuruodo","368945983",11624000,9900000,-1724000,-14.8
"Luna Lovegood","168712897",15133500,12720000,-2413500,-15.9
"Sir3","169971229",12950500,10800000,-2150500,-16.6
"Sirdavidsonj","956947937",12759000,10200000,-2559000,-20.1
"καρζζ","293117171",13327000,9900000,-3427000,-25.7
"Amen","277226677",12183500,9000000,-3183500,-26.1
"tenorman","389543546",13173500,9720000,-3453500,-26.2
"Snikers","711328158",11994000,8625000,-3369000,-28.1
"Darțh Ragnarok","848963679",12768000,9000000,-3768000,-29.5
"DarthCiiid'r","364518768",12134000,7340000,-4794000,-39.5
"ÐΛЯТHŁФЯÐ","546454824",16524500,9960000,-6564500,-39.7
"R3D IX","412684243",14155500,5670000,-8485500,-59.9
"Wladmir","475635164",11113000,2700000,-8413000,-75.7
"Lux Aeterna","666342982",16318500,3600000,-12718500,-77.9
"Klesk","548477854",11812000,0,-11812000,-100
"MΔWSΔssin","534823566",12746000,0,-12746000,-100
