"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",18000000,18000000,0,0
"Fraser","754528616",17923000,18000000,77000,0.4
"Forfs","172375865",17100000,17100000,0,0
"CookieCrispp","664316463",17100000,18000000,900000,5.3
"Kolin","895636154",17100000,17100000,0,0
"soolo","211443325",17100000,14602500,-2497500,-14.6
"Lux Aeterna","666342982",17079000,13890000,-3189000,-18.7
"QuiGonJin","658131841",16200000,10800000,-5400000,-33.3
"MINI Gewases Gait","781658169",16200000,16200000,0,0
"ÐΛЯТHŁФЯÐ","546454824",16200000,16200000,0,0
"Morgoth","955838368",16200000,16200000,0,0
"Iɳʋιƚαԃσ","887886159",15300000,13830000,-1470000,-9.6
"Charles","561322277",15300000,12150000,-3150000,-20.6
"Kyle Katarn OG","124126581",15300000,14370000,-930000,-6.1
"Remo","617343877",14700000,14700000,0,0
"mountjl","144546612",14700000,13500000,-1200000,-8.2
"Baker","781273553",14400000,12600000,-1800000,-12.5
"Eilleye","889953137",13200000,12982500,-217500,-1.6
"Amen","277226677",13152000,12600000,-552000,-4.2
"R3D IX","412684243",13130500,13050000,-80500,-0.6
"MINI Binho","447521174",13124500,13275000,150500,1.1
"Mitth'raw'nuruodo","368945983",12600000,13500000,900000,7.1
"Jaybee Ω","517227322",12236000,3600000,-8636000,-70.6
"Sir3","169971229",12000000,11100000,-900000,-7.5
"Klesk","548477854",11620000,11400000,-220000,-1.9
"Mol Endinarius","546266818",11400000,10290000,-1110000,-9.7
"Danarius","269662845",10800000,10575000,-225000,-2.1
"MΔWSΔssin","534823566",10778500,9000000,-1778500,-16.5
"καρζζ","293117171",10500000,6802500,-3697500,-35.2
"Noodlehead Jones","918418274",10500000,10050000,-450000,-4.3
"uzun4o","385111398",10500000,10050000,-450000,-4.3
"PowerZ","341753365",9885500,8010000,-1875500,-19
"Luna Lovegood","168712897",9884500,8700000,-1184500,-12
"Darțh Ragnarok","848963679",9835500,9300000,-535500,-5.4
"Seydaneen","498183781",9600000,9600000,0,0
"tenorman","389543546",8067000,6750000,-1317000,-16.3
"TK6445","575217765",7969500,7050000,-919500,-11.5
"Leesus de Mol","194491658",7949500,7200000,-749500,-9.4
"Force Ghost A","247175762",7772000,6000000,-1772000,-22.8
"Creative HD","368777242",7669000,6600000,-1069000,-13.9
"Set Harth","815276889",7153500,5527500,-1626000,-22.7
"Sirdavidsonj","956947937",7112000,6802500,-309500,-4.4
"slepy","144564766",6277500,6230000,-47500,-0.8
"pikappa","479536574",6228500,6900000,671500,10.8
"Wladmir","475635164",6119000,4510000,-1609000,-26.3
"Snikers","711328158",5926500,5850000,-76500,-1.3
"onk","927418855",5771500,5467500,-304000,-5.3
"DarthCiiid'r","364518768",4664500,3600000,-1064500,-22.8
