"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mitth'raw'nuruodo","368945983",11606000,13500000,1894000,16.3
"Trent","382196579",11706500,13050000,1343500,11.5
"Seydaneen","498183781",11417000,12600000,1183000,10.4
"Remo","617343877",15616000,17100000,1484000,9.5
"ÐΛЯТHŁФЯÐ","546454824",16506000,18000000,1494000,9.1
"Klesk","548477854",10557000,11400000,843000,8
"Force Ghost A","247175762",11284000,12150000,866000,7.7
"mountjl","144546612",15224000,16320000,1096000,7.2
"Danarius","269662845",12680500,13500000,819500,6.5
"Hammo","985188145",10099000,10650000,551000,5.5
"Fraser","754528616",17268000,18000000,732000,4.2
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17391000,18000000,609000,3.5
"Cire","363639736",13964000,14400000,436000,3.1
"CookieCrispp","664316463",17492500,18000000,507500,2.9
"pikappa","479536574",12314000,12600000,286000,2.3
"slepy","144564766",10601500,10800000,198500,1.9
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"TK6445","575217765",11163000,11100000,-63000,-0.6
"Morgoth","955838368",14713500,14400000,-313500,-2.1
"Leesus de Mol","194491658",9785000,9525000,-260000,-2.7
"soolo","211443325",16395000,15885000,-510000,-3.1
"Noodlehead Jones","918418274",13270500,12780000,-490500,-3.7
"uzun4o","385111398",13176500,12600000,-576500,-4.4
"Eilleye","889953137",14167000,13500000,-667000,-4.7
"Amen","277226677",12166500,11580000,-586500,-4.8
"Mol Endinarius","546266818",11686500,11100000,-586500,-5
"Baker","781273553",13335500,12600000,-735500,-5.5
"Forfs","172375865",16880500,15960000,-920500,-5.5
"Creative HD","368777242",9748500,9120000,-628500,-6.4
"Kyle Katarn OG","124126581",15640000,14400000,-1240000,-7.9
"onk","927418855",6192000,5700000,-492000,-7.9
"Set Harth","815276889",9278500,8452500,-826000,-8.9
"Charles","561322277",15440000,14040000,-1400000,-9.1
"Sir3","169971229",12658000,11100000,-1558000,-12.3
"Kolin","895636154",16463500,14400000,-2063500,-12.5
"MINI Gewases Gait","781658169",15633000,13500000,-2133000,-13.6
"MINI Binho","447521174",14908500,12600000,-2308500,-15.5
"Luna Lovegood","168712897",15119000,11430000,-3689000,-24.4
"καρζζ","293117171",13318000,9900000,-3418000,-25.7
"tenorman","389543546",13169500,9720000,-3449500,-26.2
"DarthCiiid'r","364518768",9532000,6487500,-3044500,-31.9
"Darțh Ragnarok","848963679",10417000,6300000,-4117000,-39.5
"Snikers","711328158",10437500,6300000,-4137500,-39.6
"MΔWSΔssin","534823566",12742000,7200000,-5542000,-43.5
"Sirdavidsonj","956947937",10103500,3600000,-6503500,-64.4
"Wladmir","475635164",10307500,2700000,-7607500,-73.8
"Lux Aeterna","666342982",16296500,3600000,-12696500,-77.9
"R3D IX","412684243",14162000,2700000,-11462000,-80.9
"Jaybee Ω","517227322",14775000,2565000,-12210000,-82.6
"QuiGonJin","658131841",14734000,0,-14734000,-100
