"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"ER DarKnight","782938667",8263500,9750000,1486500,18
"Force Ghost A","247175762",14650500,16200000,1549500,10.6
"mountjl","144546612",17362500,18000000,637500,3.7
"Seydaneen","498183781",16674500,17100000,425500,2.6
"CookieCrispp","664316463",17599500,18000000,400500,2.3
"Fraser","754528616",17647500,18000000,352500,2
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17766000,18000000,234000,1.3
"Mitth'raw'nuruodo","368945983",14243500,14400000,156500,1.1
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"onk","927418855",10008500,9900000,-108500,-1.1
"Set Harth","815276889",13059000,12915000,-144000,-1.1
"Morgoth","955838368",17406000,17100000,-306000,-1.8
"Forfs","172375865",17631500,17220000,-411500,-2.3
"Sirdavidsonj","956947937",14731500,14400000,-331500,-2.3
"Hammo","985188145",13290000,12780000,-510000,-3.8
"Creative HD","368777242",15972500,15180000,-792500,-5
"Leesus de Mol","194491658",14325000,13500000,-825000,-5.8
"Charles","561322277",16329500,15300000,-1029500,-6.3
"Danarius","269662845",15425500,14265000,-1160500,-7.5
"pikappa","479536574",15372000,14220000,-1152000,-7.5
"slepy","144564766",13620500,12600000,-1020500,-7.5
"Mol Endinarius","546266818",15961500,14400000,-1561500,-9.8
"Noodlehead Jones","918418274",16361500,14700000,-1661500,-10.2
"tenorman","389543546",15447500,13740000,-1707500,-11.1
"TK6445","575217765",16659000,14400000,-2259000,-13.6
"ER Darthpolli21","636722576",14325000,12300000,-2025000,-14.1
"Snikers","711328158",14205000,12150000,-2055000,-14.5
"Eilleye","889953137",16879500,14400000,-2479500,-14.7
"Sgc8647","623292887",11615000,9840000,-1775000,-15.3
"MINI Binho","447521174",16117500,13500000,-2617500,-16.2
"soolo","211443325",17376000,14400000,-2976000,-17.1
"Kolin","895636154",17479500,14400000,-3079500,-17.6
"Rolfey81","727183121",12131000,9900000,-2231000,-18.4
"MINI Gewases Gait","781658169",16728000,13500000,-3228000,-19.3
"Remo","617343877",16741000,13500000,-3241000,-19.4
"R3D IX","412684243",15678500,12600000,-3078500,-19.6
"Baker","781273553",15992500,12600000,-3392500,-21.2
"Sir3","169971229",14079500,10800000,-3279500,-23.3
"Luna Lovegood","168712897",17347000,13155000,-4192000,-24.2
"uzun4o","385111398",16651000,12600000,-4051000,-24.3
"Cire","363639736",16575500,12340000,-4235500,-25.6
"Maverick","986347788",17746500,12720000,-5026500,-28.3
"Amen","277226677",15091000,10800000,-4291000,-28.4
"Wladmir","475635164",14182000,9945000,-4237000,-29.9
"καρζζ","293117171",16797000,10800000,-5997000,-35.7
"Kyle Katarn OG","124126581",16724500,9900000,-6824500,-40.8
"ÐΛЯТHŁФЯÐ","546454824",17580500,10200000,-7380500,-42
"Darțh Ragnarok","848963679",14567000,7200000,-7367000,-50.6
"Lux Aeterna","666342982",17088500,7200000,-9888500,-57.9
"MΔWSΔssin","534823566",15473500,0,-15473500,-100
