"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Hammo","985188145",8715000,10500000,1785000,20.5
"Mitth'raw'nuruodo","368945983",11362500,13500000,2137500,18.8
"uzun4o","385111398",9259500,10800000,1540500,16.6
"Force Ghost A","247175762",10514500,12150000,1635500,15.6
"Noodlehead Jones","918418274",11692000,13500000,1808000,15.5
"Seydaneen","498183781",11061000,12600000,1539000,13.9
"mountjl","144546612",13143000,14700000,1557000,11.8
"MINI Gewases Gait","781658169",14538000,16200000,1662000,11.4
"Danarius","269662845",12179500,13500000,1320500,10.8
"Eilleye","889953137",12188500,13500000,1311500,10.8
"Klesk","548477854",10352500,11400000,1047500,10.1
"Mol Endinarius","546266818",10084000,11100000,1016000,10.1
"ÐΛЯТHŁФЯÐ","546454824",14764000,16200000,1436000,9.7
"Fraser","754528616",16538000,18000000,1462000,8.8
"CookieCrispp","664316463",16586000,18000000,1414000,8.5
"R3D IX","412684243",12159000,13050000,891000,7.3
"Amen","277226677",11858000,12600000,742000,6.3
"Sir3","169971229",10585500,11100000,514500,4.9
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17222000,18000000,778000,4.5
"pikappa","479536574",8359500,8715000,355500,4.3
"Iɳʋιƚαԃσ","887886159",15645000,16140000,495000,3.2
"onk","927418855",5627500,5797500,170000,3
"soolo","211443325",15707000,16080000,373000,2.4
"tenorman","389543546",11680500,11910000,229500,2
"Forfs","172375865",16488000,16800000,312000,1.9
"Remo","617343877",14438000,14700000,262000,1.8
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Morgoth","955838368",14402500,14400000,-2500,0
"Charles","561322277",13982500,13500000,-482500,-3.5
"Baker","781273553",13159500,12600000,-559500,-4.3
"Leesus de Mol","194491658",8491000,8115000,-376000,-4.4
"TK6445","575217765",8684000,8085000,-599000,-6.9
"Koloch","564228343",15509000,14265000,-1244000,-8
"Creative HD","368777242",7344000,6740000,-604000,-8.2
"DarthCiiid'r","364518768",4743500,4350000,-393500,-8.3
"Snikers","711328158",8017500,7050000,-967500,-12.1
"Lux Aeterna","666342982",14661500,12870000,-1791500,-12.2
"slepy","144564766",7382500,6397500,-985000,-13.3
"MΔWSΔssin","534823566",10508000,9000000,-1508000,-14.4
"καρζζ","293117171",11703500,9900000,-1803500,-15.4
"Kolin","895636154",16320500,13740000,-2580500,-15.8
"Set Harth","815276889",6858000,5692500,-1165500,-17
"Kyle Katarn OG","124126581",14178000,11700000,-2478000,-17.5
"Sirdavidsonj","956947937",8584500,6930000,-1654500,-19.3
"Luna Lovegood","168712897",11393000,8550000,-2843000,-25
"Darțh Ragnarok","848963679",9715000,6300000,-3415000,-35.2
"MINI Binho","447521174",13167000,7200000,-5967000,-45.3
"Wladmir","475635164",8449500,2700000,-5749500,-68
"Jaybee Ω","517227322",12119000,0,-12119000,-100
"QuiGonJin","658131841",14451000,0,-14451000,-100
