"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Hammo","985188145",13722500,14400000,677500,4.9
"Force Ghost A","247175762",16483500,17100000,616500,3.7
"Seydaneen","498183781",16711000,17100000,389000,2.3
"Fraser","754528616",17702500,18000000,297500,1.7
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17807000,18000000,193000,1.1
"Leesus de Mol","194491658",14323500,14400000,76500,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"quentin","547933286",11988000,,,
"Vxx","529988212",11263000,,,
"Morgoth","955838368",17449500,17100000,-349500,-2
"Sirdavidsonj","956947937",14744500,14355000,-389500,-2.6
"soolo","211443325",17652000,17100000,-552000,-3.1
"GrievousAndButthead","631836389",15887000,15300000,-587000,-3.7
"MINI Gewases Gait","781658169",16758000,16080000,-678000,-4
"Skyrunner","496743755",14544000,13965000,-579000,-4
"Darțh Ragnarok","848963679",14579000,13800000,-779000,-5.3
"Set Harth","815276889",13080000,12375000,-705000,-5.4
"SlickRick","496858716",16200000,15300000,-900000,-5.6
"Danarius","269662845",15485000,14355000,-1130000,-7.3
"Amen","277226677",15132500,13500000,-1632500,-10.8
"slepy","144564766",14145500,12600000,-1545500,-10.9
"Mitth'raw'nuruodo","368945983",14266000,12600000,-1666000,-11.7
"Luna Lovegood","168712897",17401500,15300000,-2101500,-12.1
"User1234","255227625",15745000,13350000,-2395000,-15.2
"Sgc8647","623292887",12238500,10365000,-1873500,-15.3
"三 syìng 三","786841145",17092000,14400000,-2692000,-15.8
"Noodlehead Jones","918418274",16395500,13540000,-2855500,-17.4
"Kolin","895636154",17495500,14400000,-3095500,-17.7
"TK6445","575217765",17585000,14400000,-3185000,-18.1
"CookieCrispp","664316463",17603000,14400000,-3203000,-18.2
"tenorman","389543546",15494000,12540000,-2954000,-19.1
"Remo","617343877",16760500,13500000,-3260500,-19.5
"Eilleye","889953137",16880000,13380000,-3500000,-20.7
"Mol Endinarius","546266818",15976500,12600000,-3376500,-21.1
"R3D IX","412684243",15704500,12240000,-3464500,-22.1
"Rolfey81","727183121",13941500,10800000,-3141500,-22.5
"Sir3","169971229",14097000,10800000,-3297000,-23.4
"Baker","781273553",16905500,12600000,-4305500,-25.5
"Wladmir","475635164",14235500,10560000,-3675500,-25.8
"ER DarKnight","782938667",10077500,7200000,-2877500,-28.6
"pikappa","479536574",17704000,12600000,-5104000,-28.8
"MINI Binho","447521174",16131000,10800000,-5331000,-33
"uzun4o","385111398",16680000,10800000,-5880000,-35.3
"καρζζ","293117171",16821500,10800000,-6021500,-35.8
"mountjl","144546612",17437000,10800000,-6637000,-38.1
"Lux Aeterna","666342982",17181500,7200000,-9981500,-58.1
"onk","927418855",10008500,3600000,-6408500,-64
"ER Darthpolli21","636722576",15026000,3600000,-11426000,-76
"Mega Cire","172375865",17656500,3600000,-14056500,-79.6
"Mini Cire","363639736",16648500,0,-16648500,-100
