"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rolfey81","727183121",12127000,12900000,773000,6.4
"mountjl","144546612",17337500,18000000,662500,3.8
"Seydaneen","498183781",16678500,17100000,421500,2.5
"Fraser","754528616",17641500,18000000,358500,2
"Forfs","172375865",17629000,17940000,311000,1.8
"Mol Endinarius","546266818",15959000,16200000,241000,1.5
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17743000,18000000,257000,1.4
"Leesus de Mol","194491658",14325000,14400000,75000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Mitth'raw'nuruodo","368945983",13881500,13500000,-381500,-2.7
"Hammo","985188145",13179000,12780000,-399000,-3
"Kyle Katarn OG","124126581",16718500,16200000,-518500,-3.1
"Noodlehead Jones","918418274",16361500,15720000,-641500,-3.9
"pikappa","479536574",14062500,13500000,-562500,-4
"Charles","561322277",16305500,15300000,-1005500,-6.2
"Danarius","269662845",15417000,14400000,-1017000,-6.6
"slepy","144564766",13618500,12600000,-1018500,-7.5
"TK6445","575217765",16648500,15300000,-1348500,-8.1
"Sirdavidsonj","956947937",14056500,12900000,-1156500,-8.2
"Set Harth","815276889",13059000,11835000,-1224000,-9.4
"soolo","211443325",17366000,14400000,-2966000,-17.1
"Kolin","895636154",17484000,14400000,-3084000,-17.6
"MINI Binho","447521174",15596000,12840000,-2756000,-17.7
"tenorman","389543546",15232500,12540000,-2692500,-17.7
"CookieCrispp","664316463",17591500,14400000,-3191500,-18.1
"Ricky","152984781",16503500,13500000,-3003500,-18.2
"Remo","617343877",16736000,13500000,-3236000,-19.3
"MINI Gewases Gait","781658169",16706000,13380000,-3326000,-19.9
"Luna Lovegood","168712897",17324500,13800000,-3524500,-20.3
"Baker","781273553",15983000,12600000,-3383000,-21.2
"uzun4o","385111398",16041000,12600000,-3441000,-21.5
"Cire","363639736",15806000,12300000,-3506000,-22.2
"Amen","277226677",13918000,10800000,-3118000,-22.4
"Maverick","986347788",16907000,13010000,-3897000,-23
"Sir3","169971229",14072500,10800000,-3272500,-23.3
"Darțh Ragnarok","848963679",14106000,10800000,-3306000,-23.4
"Snikers","711328158",14174500,10800000,-3374500,-23.8
"Creative HD","368777242",15973000,12000000,-3973000,-24.9
"DarthCiiid'r","364518768",15036000,10695000,-4341000,-28.9
"Eilleye","889953137",16866500,10800000,-6066500,-36
"R3D IX","412684243",15677500,9900000,-5777500,-36.9
"Morgoth","955838368",17394000,10800000,-6594000,-37.9
"καρζζ","293117171",16239500,9900000,-6339500,-39
"ÐΛЯТHŁФЯÐ","546454824",17571500,10380000,-7191500,-40.9
"Wladmir","475635164",13613500,6705000,-6908500,-50.7
"onk","927418855",9407500,3600000,-5807500,-61.7
"MΔWSΔssin","534823566",15474500,3600000,-11874500,-76.7
"Trent","382196579",15427000,3600000,-11827000,-76.7
"Lux Aeterna","666342982",17062500,3600000,-13462500,-78.9
"Force Ghost A","247175762",14646000,0,-14646000,-100
