"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"ER DarKnight","782938667",8501500,10050000,1548500,18.2
"Force Ghost A","247175762",16447500,17100000,652500,4
"Hammo","985188145",13273000,13800000,527000,4
"mountjl","144546612",17389000,18000000,611000,3.5
"Seydaneen","498183781",16692500,17100000,407500,2.4
"CookieCrispp","664316463",17595000,18000000,405000,2.3
"Forfs","172375865",17618500,18000000,381500,2.2
"Fraser","754528616",17666500,18000000,333500,1.9
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17788500,18000000,211500,1.2
"Mitth'raw'nuruodo","368945983",14236500,14400000,163500,1.1
"Leesus de Mol","194491658",14325500,14400000,74500,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"User1234","255227625",12271000,,,
"soolo","211443325",17374500,17100000,-274500,-1.6
"Morgoth","955838368",17429000,17100000,-329000,-1.9
"Creative HD","368777242",15967000,15240000,-727000,-4.6
"Set Harth","815276889",13073000,12420000,-653000,-5
"Charles","561322277",16315500,15300000,-1015500,-6.2
"Danarius","269662845",15447500,14400000,-1047500,-6.8
"slepy","144564766",13620500,12600000,-1020500,-7.5
"Noodlehead Jones","918418274",16373000,15030000,-1343000,-8.2
"Mol Endinarius","546266818",15967000,14400000,-1567000,-9.8
"Amen","277226677",15110000,13500000,-1610000,-10.7
"Snikers","711328158",16169000,14400000,-1769000,-10.9
"Sgc8647","623292887",11617500,10155000,-1462500,-12.6
"tenorman","389543546",15457500,13500000,-1957500,-12.7
"MINI Binho","447521174",16124500,13500000,-2624500,-16.3
"MINI Gewases Gait","781658169",16734000,13800000,-2934000,-17.5
"Remo","617343877",16754000,13500000,-3254000,-19.4
"Eilleye","889953137",16866000,13560000,-3306000,-19.6
"Kolin","895636154",17490000,13920000,-3570000,-20.4
"Baker","781273553",15990500,12600000,-3390500,-21.2
"pikappa","479536574",17179500,13500000,-3679500,-21.4
"Sir3","169971229",14081500,10800000,-3281500,-23.3
"Wladmir","475635164",14185000,10710000,-3475000,-24.5
"onk","927418855",10008500,7500000,-2508500,-25.1
"Rolfey81","727183121",13209500,9900000,-3309500,-25.1
"uzun4o","385111398",16662500,12450000,-4212500,-25.3
"Cire","363639736",16568000,12290000,-4278000,-25.8
"Maverick","986347788",17736500,12720000,-5016500,-28.3
"ER Darthpolli21","636722576",14341500,9900000,-4441500,-31
"καρζζ","293117171",16822500,10800000,-6022500,-35.8
"TK6445","575217765",16656000,10440000,-6216000,-37.3
"R3D IX","412684243",15672500,9660000,-6012500,-38.4
"Kyle Katarn OG","124126581",16709000,9900000,-6809000,-40.8
"Darțh Ragnarok","848963679",14568000,7200000,-7368000,-50.6
"Luna Lovegood","168712897",17355000,6075000,-11280000,-65
"Lux Aeterna","666342982",17113500,3600000,-13513500,-79
"ÐΛЯТHŁФЯÐ","546454824",17576500,3600000,-13976500,-79.5
"Sirdavidsonj","956947937",14737500,2700000,-12037500,-81.7
