"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Vxx","529988212",11263000,12600000,1337000,11.9
"三 syìng 三","786841145",17101000,18000000,899000,5.3
"quentin","547933286",11988000,12600000,612000,5.1
"User1234","255227625",15747000,16200000,453000,2.9
"Seydaneen","498183781",16713500,17100000,386500,2.3
"Fraser","754528616",17707000,18000000,293000,1.7
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17812000,18000000,188000,1.1
"Leesus de Mol","194491658",14324000,14400000,76000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Skyrunner","496743755",14543500,14400000,-143500,-1
"mountjl","144546612",17436000,17040000,-396000,-2.3
"GrievousAndButthead","631836389",15890500,15300000,-590500,-3.7
"Set Harth","815276889",13080000,12555000,-525000,-4
"SlickRick","496858716",16200000,15300000,-900000,-5.6
"Danarius","269662845",15489500,14400000,-1089500,-7
"Hammo","985188145",13725000,12480000,-1245000,-9.1
"Amen","277226677",15135500,13500000,-1635500,-10.8
"slepy","144564766",14145500,12600000,-1545500,-10.9
"Sgc8647","623292887",12237000,10695000,-1542000,-12.6
"Mega Cire","172375865",17655000,15060000,-2595000,-14.7
"Noodlehead Jones","918418274",16396500,13800000,-2596500,-15.8
"TK6445","575217765",17583000,14400000,-3183000,-18.1
"soolo","211443325",17653000,14400000,-3253000,-18.4
"tenorman","389543546",15493000,12600000,-2893000,-18.7
"Remo","617343877",16760500,13500000,-3260500,-19.5
"Darțh Ragnarok","848963679",14579000,11700000,-2879000,-19.7
"R3D IX","412684243",15707000,12600000,-3107000,-19.8
"Kolin","895636154",17495500,13800000,-3695500,-21.1
"Mol Endinarius","546266818",15977000,12600000,-3377000,-21.1
"Luna Lovegood","168712897",17399000,13500000,-3899000,-22.4
"Rolfey81","727183121",13942000,10800000,-3142000,-22.5
"Morgoth","955838368",17448000,13500000,-3948000,-22.6
"Sir3","169971229",14098500,10800000,-3298500,-23.4
"Mini Cire","363639736",16649500,12540000,-4109500,-24.7
"Baker","781273553",16906500,12600000,-4306500,-25.5
"Eilleye","889953137",16872500,12420000,-4452500,-26.4
"MINI Gewases Gait","781658169",16758500,12120000,-4638500,-27.7
"Sirdavidsonj","956947937",14744500,10485000,-4259500,-28.9
"ER DarKnight","782938667",10083000,6540000,-3543000,-35.1
"uzun4o","385111398",16680000,10800000,-5880000,-35.3
"καρζζ","293117171",16823500,10800000,-6023500,-35.8
"Mitth'raw'nuruodo","368945983",14268000,9000000,-5268000,-36.9
"pikappa","479536574",17704000,10800000,-6904000,-39
"MINI Binho","447521174",16137500,7200000,-8937500,-55.4
"ER Darthpolli21","636722576",15024500,6660000,-8364500,-55.7
"Wladmir","475635164",14240000,6240000,-8000000,-56.2
"Lux Aeterna","666342982",17182000,7200000,-9982000,-58.1
"CookieCrispp","664316463",17609000,7200000,-10409000,-59.1
"onk","927418855",10008500,3600000,-6408500,-64
"Force Ghost A","247175762",16482500,3600000,-12882500,-78.2
