"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Vxx","529988212",13161000,14400000,1239000,9.4
"quentin","547933286",11986000,12600000,614000,5.1
"Force Ghost A","247175762",16481500,17100000,618500,3.8
"mountjl","144546612",17437500,18000000,562500,3.2
"Seydaneen","498183781",16709500,17100000,390500,2.3
"Fraser","754528616",17701000,18000000,299000,1.7
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17819000,18000000,181000,1
"Set Harth","815276889",13640500,13695000,54500,0.4
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Morgoth","955838368",17472500,17100000,-372500,-2.1
"Leesus de Mol","194491658",14321000,13635000,-686000,-4.8
"Sirdavidsonj","956947937",14754500,13995000,-759500,-5.1
"Skyrunner","496743755",14624000,13860000,-764000,-5.2
"SlickRick","496858716",16200000,15300000,-900000,-5.6
"ψhαяρσση","722454792",17320000,16080000,-1240000,-7.2
"Darțh Ragnarok","848963679",14586000,13290000,-1296000,-8.9
"Hammo","985188145",13733000,12300000,-1433000,-10.4
"slepy","144564766",14159000,12600000,-1559000,-11
"R3D IX","412684243",15700500,13950000,-1750500,-11.1
"Mitth'raw'nuruodo","368945983",14268000,12600000,-1668000,-11.7
"Sgc8647","623292887",12222500,10515000,-1707500,-14
"Luna Lovegood","168712897",17402000,14820000,-2582000,-14.8
"GrievousAndButthead","631836389",15884000,13500000,-2384000,-15
"三 syìng 三","786841145",17112500,14400000,-2712500,-15.9
"Noodlehead Jones","918418274",16428000,13700000,-2728000,-16.6
"Kolin","895636154",17511500,14400000,-3111500,-17.8
"TK6445","575217765",17585000,14400000,-3185000,-18.1
"CookieCrispp","664316463",17600000,14400000,-3200000,-18.2
"tenorman","389543546",15492500,12600000,-2892500,-18.7
"MINI Gewases Gait","781658169",16757500,13500000,-3257500,-19.4
"Remo","617343877",16768500,13500000,-3268500,-19.5
"User1234","255227625",15830000,12600000,-3230000,-20.4
"Eilleye","889953137",16879500,13380000,-3499500,-20.7
"Mol Endinarius","546266818",15973500,12600000,-3373500,-21.1
"Mega Cire","172375865",17654000,13860000,-3794000,-21.5
"Sir3","169971229",14094500,10800000,-3294500,-23.4
"soolo","211443325",17649500,13500000,-4149500,-23.5
"Baker","781273553",16908000,12600000,-4308000,-25.5
"καρζζ","293117171",16828000,10800000,-6028000,-35.8
"Danarius","269662845",15509500,9900000,-5609500,-36.2
"pikappa","479536574",17701000,10800000,-6901000,-39
"MINI Binho","447521174",16136500,7200000,-8936500,-55.4
"Lux Aeterna","666342982",17188000,7200000,-9988000,-58.1
"Amen","277226677",15124500,6300000,-8824500,-58.3
"onk","927418855",10007000,3600000,-6407000,-64
"ER DarKnight","782938667",10076500,3600000,-6476500,-64.3
"Rolfey81","727183121",13944500,3600000,-10344500,-74.2
"Wladmir","475635164",14246000,3600000,-10646000,-74.7
"ER Darthpolli21","636722576",15014000,3600000,-11414000,-76
"uzun4o","385111398",16694500,3600000,-13094500,-78.4
