"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"ER DarKnight","782938667",8500000,9750000,1250000,14.7
"mountjl","144546612",17386000,18000000,614000,3.5
"Forfs","172375865",17619000,18000000,381000,2.2
"MINI Gewases Gait","781658169",16734500,17100000,365500,2.2
"Fraser","754528616",17667000,18000000,333000,1.9
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17786000,18000000,214000,1.2
"Mitth'raw'nuruodo","368945983",14237500,14400000,162500,1.1
"Leesus de Mol","194491658",14325000,14400000,75000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Set Harth","815276889",13073000,12960000,-113000,-0.9
"soolo","211443325",17371000,17100000,-271000,-1.6
"Danarius","269662845",15446500,14400000,-1046500,-6.8
"slepy","144564766",13622500,12600000,-1022500,-7.5
"Hammo","985188145",13268500,12240000,-1028500,-7.8
"Charles","561322277",16314500,15030000,-1284500,-7.9
"Noodlehead Jones","918418274",16373000,14700000,-1673000,-10.2
"Sgc8647","623292887",11616000,10335000,-1281000,-11
"Snikers","711328158",16155500,14145000,-2010500,-12.4
"tenorman","389543546",15456000,13500000,-1956000,-12.7
"ER Darthpolli21","636722576",14331500,12420000,-1911500,-13.3
"Darțh Ragnarok","848963679",14568000,12600000,-1968000,-13.5
"Rolfey81","727183121",13206500,11100000,-2106500,-16
"Wladmir","475635164",14185000,11895000,-2290000,-16.1
"MINI Binho","447521174",16123500,13500000,-2623500,-16.3
"Amen","277226677",15111000,12600000,-2511000,-16.6
"Kolin","895636154",17490500,14100000,-3390500,-19.4
"Remo","617343877",16755000,13500000,-3255000,-19.4
"uzun4o","385111398",16662500,13200000,-3462500,-20.8
"Creative HD","368777242",15967500,12600000,-3367500,-21.1
"Mol Endinarius","546266818",15963500,12600000,-3363500,-21.1
"Luna Lovegood","168712897",17350000,13500000,-3850000,-22.2
"Morgoth","955838368",17422000,13500000,-3922000,-22.5
"Maverick","986347788",17733500,13720000,-4013500,-22.6
"Sir3","169971229",14076500,10800000,-3276500,-23.3
"Cire","363639736",16560500,12440000,-4120500,-24.9
"pikappa","479536574",17169500,12600000,-4569500,-26.6
"Kyle Katarn OG","124126581",16712000,12195000,-4517000,-27
"Baker","781273553",15988000,10800000,-5188000,-32.4
"Seydaneen","498183781",16684000,10800000,-5884000,-35.3
"καρζζ","293117171",16821500,10800000,-6021500,-35.8
"Eilleye","889953137",16872500,10800000,-6072500,-36
"R3D IX","412684243",15672500,9480000,-6192500,-39.5
"ÐΛЯТHŁФЯÐ","546454824",17576500,10380000,-7196500,-40.9
"Sirdavidsonj","956947937",14737000,8100000,-6637000,-45
"Force Ghost A","247175762",15767500,7200000,-8567500,-54.3
"TK6445","575217765",16657000,7200000,-9457000,-56.8
"Lux Aeterna","666342982",17107500,6960000,-10147500,-59.3
"onk","927418855",10009000,3600000,-6409000,-64
"CookieCrispp","664316463",17592000,0,-17592000,-100
"MΔWSΔssin","534823566",15461000,0,-15461000,-100
