"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"quentin","547933286",12000000,12600000,600000,5
"Seydaneen","498183781",16722000,17100000,378000,2.3
"Fraser","754528616",17717500,18000000,282500,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17821500,18000000,178500,1
"Leesus de Mol","194491658",14308500,14400000,91500,0.6
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Set Harth","815276889",13639000,13410000,-229000,-1.7
"ψhαяρσση","722454792",17326500,17040000,-286500,-1.7
"Morgoth","955838368",17487000,17100000,-387000,-2.2
"mountjl","144546612",17456000,17040000,-416000,-2.4
"soolo","211443325",17651500,17100000,-551500,-3.1
"Sirdavidsonj","956947937",14756500,14220000,-536500,-3.6
"SlickRick","496858716",16200000,15300000,-900000,-5.6
"Skyrunner","496743755",14623500,13740000,-883500,-6
"Danarius","269662845",15518000,14400000,-1118000,-7.2
"Amen","277226677",15118000,13500000,-1618000,-10.7
"slepy","144564766",14157500,12600000,-1557500,-11
"Mitth'raw'nuruodo","368945983",14265500,12600000,-1665500,-11.7
"Luna Lovegood","168712897",17424000,15240000,-2184000,-12.5
"MINI Gewases Gait","781658169",16757000,14480000,-2277000,-13.6
"Eilleye","889953137",16882000,14400000,-2482000,-14.7
"GrievousAndButthead","631836389",15891500,13500000,-2391500,-15
"Noodlehead Jones","918418274",16429500,13580000,-2849500,-17.3
"TK6445","575217765",17586000,14400000,-3186000,-18.1
"CookieCrispp","664316463",17610500,14400000,-3210500,-18.2
"tenorman","389543546",15507500,12600000,-2907500,-18.7
"Mega Cire","172375865",17664000,14340000,-3324000,-18.8
"MINI Binho","447521174",16139000,13080000,-3059000,-19
"Remo","617343877",16767500,13500000,-3267500,-19.5
"Sgc8647","623292887",13878500,11115000,-2763500,-19.9
"User1234","255227625",15848500,12600000,-3248500,-20.5
"Kolin","895636154",17507500,13860000,-3647500,-20.8
"Mol Endinarius","546266818",15979000,12600000,-3379000,-21.1
"Sir3","169971229",14095000,10800000,-3295000,-23.4
"Darțh Ragnarok","848963679",16006500,12195000,-3811500,-23.8
"Baker","781273553",16913500,12600000,-4313500,-25.5
"pikappa","479536574",17718500,12180000,-5538500,-31.3
"καρζζ","293117171",16826000,10800000,-6026000,-35.8
"Vxx","529988212",13180500,7200000,-5980500,-45.4
"onk","927418855",10008500,5400000,-4608500,-46
"ER DarKnight","782938667",10083500,3600000,-6483500,-64.3
"Rolfey81","727183121",13948000,3600000,-10348000,-74.2
"Wladmir","475635164",14242500,3600000,-10642500,-74.7
"ER Darthpolli21","636722576",15012500,3600000,-11412500,-76
"Force Ghost A","247175762",16482500,3600000,-12882500,-78.2
"三 syìng 三","786841145",17120500,3600000,-13520500,-79
"Lux Aeterna","666342982",17204000,3600000,-13604000,-79.1
"Hammo","985188145",13741500,0,-13741500,-100
"R3D IX","412684243",15701500,0,-15701500,-100
"uzun4o","385111398",16693500,0,-16693500,-100
