"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"damocheeks","379234773",14534500,15300000,765500,5.3
"mountjl","144546612",17401500,18000000,598500,3.4
"CookieCrispp","664316463",17583000,18000000,417000,2.4
"Set Harth","815276889",13078500,13365000,286500,2.2
"Fraser","754528616",17658000,18000000,342000,1.9
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17793500,18000000,206500,1.2
"Mitth'raw'nuruodo","368945983",14261000,14400000,139000,1
"Leesus de Mol","194491658",14324500,14400000,75500,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Morgoth","955838368",17437000,17100000,-337000,-1.9
"User1234","255227625",13794500,13500000,-294500,-2.1
"Sirdavidsonj","956947937",14739500,14400000,-339500,-2.3
"soolo","211443325",17634500,17100000,-534500,-3
"GrievousAndButthead","631836389",15879000,15300000,-579000,-3.6
"Charles","561322277",16318000,15300000,-1018000,-6.2
"Danarius","269662845",15474000,14400000,-1074000,-6.9
"Mega Cire","172375865",17634500,16200000,-1434500,-8.1
"Mol Endinarius","546266818",15967500,14400000,-1567500,-9.8
"slepy","144564766",14140000,12600000,-1540000,-10.9
"Luna Lovegood","168712897",17369000,15240000,-2129000,-12.3
"Sgc8647","623292887",12240000,10695000,-1545000,-12.6
"Jaqen H'ghar","815768924",14030500,12180000,-1850500,-13.2
"Rolfey81","727183121",13214500,11100000,-2114500,-16
"MINI Binho","447521174",16124500,13500000,-2624500,-16.3
"Noodlehead Jones","918418274",16396500,13650000,-2746500,-16.8
"TK6445","575217765",17565500,14400000,-3165500,-18
"tenorman","389543546",15463000,12600000,-2863000,-18.5
"Remo","617343877",16764500,13500000,-3264500,-19.5
"MINI Gewases Gait","781658169",16737500,13380000,-3357500,-20.1
"Eilleye","889953137",16874000,13380000,-3494000,-20.7
"Baker","781273553",15993500,12600000,-3393500,-21.2
"Kolin","895636154",17493500,13740000,-3753500,-21.5
"Sir3","169971229",14085500,10800000,-3285500,-23.3
"pikappa","479536574",17181000,12300000,-4881000,-28.4
"Darțh Ragnarok","848963679",14580000,9900000,-4680000,-32.1
"ER Darthpolli21","636722576",15020000,10020000,-5000000,-33.3
"ER DarKnight","782938667",10069000,6660000,-3409000,-33.9
"Amen","277226677",15107500,9900000,-5207500,-34.5
"uzun4o","385111398",16677000,10800000,-5877000,-35.2
"καρζζ","293117171",16821500,10800000,-6021500,-35.8
"R3D IX","412684243",15673500,9900000,-5773500,-36.8
"onk","927418855",10007000,6300000,-3707000,-37
"ÐΛЯТHŁФЯÐ","546454824",17581000,9420000,-8161000,-46.4
"Snikers","711328158",16184000,7200000,-8984000,-55.5
"Wladmir","475635164",14202500,6300000,-7902500,-55.6
"Lux Aeterna","666342982",17127000,7200000,-9927000,-58
"Hammo","985188145",13289000,3600000,-9689000,-72.9
"Force Ghost A","247175762",16448000,3600000,-12848000,-78.1
"Mini Cire","363639736",16586500,3600000,-12986500,-78.3
"Seydaneen","498183781",16679000,3600000,-13079000,-78.4
