"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Force Ghost A","247175762",12227000,13725000,1498000,12.3
"mountjl","144546612",15515500,17100000,1584500,10.2
"uzun4o","385111398",14761500,16200000,1438500,9.7
"Remo","617343877",15622000,17100000,1478000,9.5
"Seydaneen","498183781",14008000,15300000,1292000,9.2
"Mitth'raw'nuruodo","368945983",11602500,12660000,1057500,9.1
"Danarius","269662845",12682500,13800000,1117500,8.8
"Forfs","172375865",16887500,18000000,1112500,6.6
"Klesk","548477854",11793500,12300000,506500,4.3
"Fraser","754528616",17269000,18000000,731000,4.2
"Hammo","985188145",10101500,10500000,398500,3.9
"Noodlehead Jones","918418274",13273000,13785000,512000,3.9
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17402500,18000000,597500,3.4
"CookieCrispp","664316463",17498000,18000000,502000,2.9
"Ṃøł Ĕłįžå","116138833",17516000,18000000,484000,2.8
"MINI Binho","447521174",14912000,15300000,388000,2.6
"pikappa","479536574",13224500,13500000,275500,2.1
"Ricky","152984781",13278500,13500000,221500,1.7
"slepy","144564766",10619000,10800000,181000,1.7
"Eilleye","889953137",14173000,14400000,227000,1.6
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Trent","382196579",12990500,12990000,-500,0
"Darțh Ragnarok","848963679",12765000,12600000,-165000,-1.3
"Charles","561322277",15523000,15300000,-223000,-1.4
"Leesus de Mol","194491658",11282000,11100000,-182000,-1.6
"Morgoth","955838368",14750000,14400000,-350000,-2.4
"Amen","277226677",12171000,11700000,-471000,-3.9
"onk","927418855",7200000,6900000,-300000,-4.2
"TK6445","575217765",12091000,11550000,-541000,-4.5
"Mol Endinarius","546266818",13312000,12600000,-712000,-5.3
"Baker","781273553",13340000,12600000,-740000,-5.5
"Kyle Katarn OG","124126581",15852500,14910000,-942500,-5.9
"MINI Gewases Gait","781658169",15622000,14400000,-1222000,-7.8
"Cire","363639736",13971000,12825000,-1146000,-8.2
"Sir3","169971229",12949500,11700000,-1249500,-9.6
"Kolin","895636154",16470000,14400000,-2070000,-12.6
"soolo","211443325",16398500,13500000,-2898500,-17.7
"tenorman","389543546",13168500,10830000,-2338500,-17.8
"Wladmir","475635164",11107000,9105000,-2002000,-18
"Luna Lovegood","168712897",15125500,12300000,-2825500,-18.7
"Set Harth","815276889",11772000,9442500,-2329500,-19.8
"Snikers","711328158",11973000,9150000,-2823000,-23.6
"ÐΛЯТHŁФЯÐ","546454824",16509500,12600000,-3909500,-23.7
"Creative HD","368777242",12745000,9600000,-3145000,-24.7
"καρζζ","293117171",13331000,9900000,-3431000,-25.7
"Sirdavidsonj","956947937",12508000,9000000,-3508000,-28
"DarthCiiid'r","364518768",10499500,5400000,-5099500,-48.6
"R3D IX","412684243",14166500,4995000,-9171500,-64.7
"MΔWSΔssin","534823566",12741000,3600000,-9141000,-71.7
"Lux Aeterna","666342982",16307500,3600000,-12707500,-77.9
