"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"User1234","255227625",13731000,14400000,669000,4.9
"Force Ghost A","247175762",16440500,17100000,659500,4
"Hammo","985188145",13275500,13800000,524500,4
"mountjl","144546612",17384500,18000000,615500,3.5
"Seydaneen","498183781",16683500,17100000,416500,2.5
"Forfs","172375865",17608000,18000000,392000,2.2
"Fraser","754528616",17671000,18000000,329000,1.9
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17789000,18000000,211000,1.2
"Mitth'raw'nuruodo","368945983",14243500,14400000,156500,1.1
"Leesus de Mol","194491658",14325500,14400000,74500,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Sirdavidsonj","956947937",14727000,14400000,-327000,-2.2
"soolo","211443325",17629000,17100000,-529000,-3
"Set Harth","815276889",13076000,12330000,-746000,-5.7
"Charles","561322277",16314000,15300000,-1014000,-6.2
"Noodlehead Jones","918418274",16396000,15300000,-1096000,-6.7
"Danarius","269662845",15464000,14400000,-1064000,-6.9
"slepy","144564766",13609500,12600000,-1009500,-7.4
"Amen","277226677",15099000,13500000,-1599000,-10.6
"Jaqen H'ghar","815768924",14026000,12210000,-1816000,-12.9
"Wladmir","475635164",14181000,12225000,-1956000,-13.8
"Sgc8647","623292887",12232500,10440000,-1792500,-14.7
"Luna Lovegood","168712897",17348000,14760000,-2588000,-14.9
"ER DarKnight","782938667",10067000,8520000,-1547000,-15.4
"Kyle Katarn OG","124126581",16701000,14085000,-2616000,-15.7
"MINI Binho","447521174",16121000,13500000,-2621000,-16.3
"Kolin","895636154",17494500,14400000,-3094500,-17.7
"Eilleye","889953137",16868000,13860000,-3008000,-17.8
"tenorman","389543546",15447500,12600000,-2847500,-18.4
"Remo","617343877",16764000,13500000,-3264000,-19.5
"MINI Gewases Gait","781658169",16710500,13380000,-3330500,-19.9
"uzun4o","385111398",16677000,13200000,-3477000,-20.8
"Creative HD","368777242",15967500,12600000,-3367500,-21.1
"Mol Endinarius","546266818",15961000,12600000,-3361000,-21.1
"Baker","781273553",15987000,12600000,-3387000,-21.2
"Morgoth","955838368",17422500,13500000,-3922500,-22.5
"Sir3","169971229",14078000,10800000,-3278000,-23.3
"TK6445","575217765",16655000,12600000,-4055000,-24.3
"pikappa","479536574",17171000,12900000,-4271000,-24.9
"Rolfey81","727183121",13204000,9900000,-3304000,-25
"Darțh Ragnarok","848963679",14565500,9900000,-4665500,-32
"Snikers","711328158",16170500,10800000,-5370500,-33.2
"ER Darthpolli21","636722576",15018500,9900000,-5118500,-34.1
"καρζζ","293117171",16814500,10800000,-6014500,-35.8
"ÐΛЯТHŁФЯÐ","546454824",17570000,10380000,-7190000,-40.9
"R3D IX","412684243",15659000,7200000,-8459000,-54
"Lux Aeterna","666342982",17103500,7200000,-9903500,-57.9
"Cire","363639736",16568000,6960000,-9608000,-58
"CookieCrispp","664316463",17581000,7200000,-10381000,-59
"onk","927418855",10008000,3600000,-6408000,-64
