"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Force Ghost A","247175762",12229000,13815000,1586000,13
"Noodlehead Jones","918418274",13275500,14805000,1529500,11.5
"mountjl","144546612",15530000,17100000,1570000,10.1
"Seydaneen","498183781",14009500,15300000,1290500,9.2
"Creative HD","368777242",12697500,13800000,1102500,8.7
"Mol Endinarius","546266818",13318000,14400000,1082000,8.1
"Ricky","152984781",15032000,15750000,718000,4.8
"Trent","382196579",14604500,15240000,635500,4.4
"onk","927418855",7200000,7500000,300000,4.2
"Fraser","754528616",17304500,18000000,695500,4
"Hammo","985188145",10104000,10500000,396000,3.9
"uzun4o","385111398",14758000,15300000,542000,3.7
"CookieCrispp","664316463",17503000,18000000,497000,2.8
"pikappa","479536574",13231000,13500000,269000,2
"Eilleye","889953137",14162000,14400000,238000,1.7
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17694000,18000000,306000,1.7
"Sirdavidsonj","956947937",12759000,12900000,141000,1.1
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"MINI Binho","447521174",15562500,15540000,-22500,-0.1
"slepy","144564766",10920000,10800000,-120000,-1.1
"Danarius","269662845",14591000,14400000,-191000,-1.3
"Charles","561322277",15534500,15300000,-234500,-1.5
"Amen","277226677",12181500,11640000,-541500,-4.4
"Kyle Katarn OG","124126581",15864000,15165000,-699000,-4.4
"Leesus de Mol","194491658",11626000,11100000,-526000,-4.5
"Set Harth","815276889",11818500,11205000,-613500,-5.2
"tenorman","389543546",13172500,12360000,-812500,-6.2
"Mitth'raw'nuruodo","368945983",11625000,10800000,-825000,-7.1
"Morgoth","955838368",16248500,14400000,-1848500,-11.4
"Kolin","895636154",16498500,14400000,-2098500,-12.7
"soolo","211443325",16614500,14400000,-2214500,-13.3
"Remo","617343877",15622500,13500000,-2122500,-13.6
"MINI Gewases Gait","781658169",15642000,13500000,-2142000,-13.7
"Forfs","172375865",16890500,14400000,-2490500,-14.7
"Darțh Ragnarok","848963679",12768000,10800000,-1968000,-15.4
"Baker","781273553",14938500,12600000,-2338500,-15.7
"Cire","363639736",15408500,12960000,-2448500,-15.9
"Sir3","169971229",12953500,10800000,-2153500,-16.6
"TK6445","575217765",12159000,9900000,-2259000,-18.6
"Luna Lovegood","168712897",15134000,12000000,-3134000,-20.7
"ÐΛЯТHŁФЯÐ","546454824",16524000,12780000,-3744000,-22.7
"καρζζ","293117171",13332500,9900000,-3432500,-25.7
"DarthCiiid'r","364518768",12164500,9000000,-3164500,-26
"R3D IX","412684243",14159500,10380000,-3779500,-26.7
"Snikers","711328158",11979500,8715000,-3264500,-27.3
"MΔWSΔssin","534823566",14639000,3600000,-11039000,-75.4
"Wladmir","475635164",11115000,2700000,-8415000,-75.7
"Lux Aeterna","666342982",16322500,3240000,-13082500,-80.2
"Klesk","548477854",11811000,60000,-11751000,-99.5
