"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mitth'raw'nuruodo","368945983",11359000,13500000,2141000,18.8
"uzun4o","385111398",9257000,10800000,1543000,16.7
"Force Ghost A","247175762",10512500,12150000,1637500,15.6
"Hammo","985188145",8711000,9900000,1189000,13.6
"Seydaneen","498183781",10833500,12300000,1466500,13.5
"Noodlehead Jones","918418274",11692000,13200000,1508000,12.9
"mountjl","144546612",13141500,14700000,1558500,11.9
"Fraser","754528616",16149500,18000000,1850500,11.5
"MINI Gewases Gait","781658169",14538500,16200000,1661500,11.4
"CookieCrispp","664316463",16269500,18000000,1730500,10.6
"Snikers","711328158",8024500,8850000,825500,10.3
"Klesk","548477854",10349500,11400000,1050500,10.2
"Kolin","895636154",16328500,18000000,1671500,10.2
"ÐΛЯТHŁФЯÐ","546454824",14762000,16200000,1438000,9.7
"Danarius","269662845",12177500,13320000,1142500,9.4
"Forfs","172375865",16488500,18000000,1511500,9.2
"soolo","211443325",15700000,17100000,1400000,8.9
"pikappa","479536574",7548000,8130000,582000,7.7
"Amen","277226677",11860500,12600000,739500,6.2
"Sir3","169971229",10580000,11100000,520000,4.9
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17223000,18000000,777000,4.5
"Eilleye","889953137",12174500,12660000,485500,4
"Remo","617343877",13856000,14280000,424000,3.1
"onk","927418855",5627000,5700000,73000,1.3
"MINI Binho","447521174",13179500,13335000,155500,1.2
"Mol Endinarius","546266818",10086500,10140000,53500,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Morgoth","955838368",14403000,14400000,-3000,0
"Creative HD","368777242",7344000,7282500,-61500,-0.8
"Darțh Ragnarok","848963679",9715000,9615000,-100000,-1
"Iɳʋιƚαԃσ","887886159",15650500,15255000,-395500,-2.5
"Charles","561322277",13977000,13500000,-477000,-3.4
"Koloch","564228343",14970500,14400000,-570500,-3.8
"Baker","781273553",13151000,12600000,-551000,-4.2
"TK6445","575217765",8523500,7950000,-573500,-6.7
"DarthCiiid'r","364518768",4743500,4350000,-393500,-8.3
"Leesus de Mol","194491658",8507000,7695000,-812000,-9.5
"MΔWSΔssin","534823566",10477000,9000000,-1477000,-14.1
"slepy","144564766",7383000,6332500,-1050500,-14.2
"tenorman","389543546",9207500,7837500,-1370000,-14.9
"καρζζ","293117171",11697500,9945000,-1752500,-15
"Lux Aeterna","666342982",14656500,12420000,-2236500,-15.3
"Kyle Katarn OG","124126581",14176500,11700000,-2476500,-17.5
"Set Harth","815276889",6859000,5647500,-1211500,-17.7
"Sirdavidsonj","956947937",8580500,6615000,-1965500,-22.9
"Luna Lovegood","168712897",11388500,8550000,-2838500,-24.9
"R3D IX","412684243",12140500,8940000,-3200500,-26.4
"QuiGonJin","658131841",14413000,7200000,-7213000,-50
"Wladmir","475635164",7727000,3600000,-4127000,-53.4
"Jaybee Ω","517227322",12119000,3480000,-8639000,-71.3
