"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",18000000,18000000,0,0
"Forfs","172375865",17100000,17100000,0,0
"CookieCrispp","664316463",17100000,18000000,900000,5.3
"Kolin","895636154",17093000,13560000,-3533000,-20.7
"Fraser","754528616",17044000,17100000,56000,0.3
"Lux Aeterna","666342982",16844500,14400000,-2444500,-14.5
"ÐΛЯТHŁФЯÐ","546454824",16200000,16200000,0,0
"MINI Gewases Gait","781658169",16145500,16200000,54500,0.3
"Scoundrels in a Cantina","746975472",16087000,9900000,-6187000,-38.5
"soolo","211443325",15300000,6300000,-9000000,-58.8
"Remo","617343877",14700000,13680000,-1020000,-6.9
"mountjl","144546612",14700000,14700000,0,0
"Baker","781273553",14400000,14400000,0,0
"Charles","561322277",13500000,11152500,-2347500,-17.4
"Iɳʋιƚαԃσ","887886159",13186000,12285000,-901000,-6.8
"R3D IX","412684243",13165500,12150000,-1015500,-7.7
"Eilleye","889953137",13165500,12900000,-265500,-2
"Morgoth","955838368",13159000,12290000,-869000,-6.6
"QuiGonJin","658131841",13075000,0,-13075000,-100
"Kyle Katarn OG","124126581",12900000,12900000,0,0
"Mitth'raw'nuruodo","368945983",12600000,13500000,900000,7.1
"Jaybee Ω","517227322",12271500,10360000,-1911500,-15.6
"MINI Binho","447521174",12259000,12435000,176000,1.4
"Sir3","169971229",12000000,11100000,-900000,-7.5
"MΔWSΔssin","534823566",10781500,9000000,-1781500,-16.5
"Amen","277226677",10451000,8040000,-2411000,-23.1
"Danarius","269662845",9861000,9697500,-163500,-1.7
"PowerZ","341753365",8932500,6565000,-2367500,-26.5
"Darțh Ragnarok","848963679",8884500,6405000,-2479500,-27.9
"Noodlehead Jones","918418274",8800500,7620000,-1180500,-13.4
"uzun4o","385111398",8718500,6952500,-1766000,-20.3
"Klesk","548477854",8354000,2362500,-5991500,-71.7
"Luna Lovegood","168712897",7957500,6450000,-1507500,-18.9
"slepy","144564766",7161000,4740000,-2421000,-33.8
"καρζζ","293117171",7157000,3802500,-3354500,-46.9
"Seydaneen","498183781",7083000,0,-7083000,-100
"TK6445","575217765",7038500,6450000,-588500,-8.4
"Leesus de Mol","194491658",6526000,0,,
"Sirdavidsonj","956947937",6525500,6265000,-260500,-4
"tenorman","389543546",6232500,5287500,-945000,-15.2
"Set Harth","815276889",6194000,4320000,-1874000,-30.3
"Wladmir","475635164",6144000,4850000,-1294000,-21.1
"pikappa","479536574",5622500,6120000,497500,8.8
"onk","927418855",5544000,5047500,-496500,-9
"Mol Endinarius","546266818",5367000,4800000,-567000,-10.6
"Snikers","711328158",5268000,4800000,-468000,-8.9
"Force Ghost A","247175762",5245000,1800000,-3445000,-65.7
"Creative HD","368777242",4776500,1827500,-2949000,-61.7
"DarthCiiid'r","364518768",4431000,3285000,-1146000,-25.9
