"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"ER DarKnight","782938667",8262500,10050000,1787500,21.6
"Rolfey81","727183121",12129500,13500000,1370500,11.3
"Hammo","985188145",13286500,14400000,1113500,8.4
"onk","927418855",9408500,9900000,491500,5.2
"mountjl","144546612",17358000,18000000,642000,3.7
"Seydaneen","498183781",16676500,17100000,423500,2.5
"CookieCrispp","664316463",17593500,18000000,406500,2.3
"Fraser","754528616",17637000,18000000,363000,2.1
"Mol Endinarius","546266818",15960500,16200000,239500,1.5
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17755500,18000000,244500,1.4
"Forfs","172375865",17631000,17760000,129000,0.7
"Leesus de Mol","194491658",14325000,14400000,75000,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Creative HD","368777242",15972500,15750000,-222500,-1.4
"Sirdavidsonj","956947937",14729500,14400000,-329500,-2.2
"Mitth'raw'nuruodo","368945983",14241000,13500000,-741000,-5.2
"Set Harth","815276889",13060500,12330000,-730500,-5.6
"Charles","561322277",16319500,15300000,-1019500,-6.2
"Danarius","269662845",15423000,14400000,-1023000,-6.6
"Morgoth","955838368",17400000,16200000,-1200000,-6.9
"slepy","144564766",13613000,12600000,-1013000,-7.4
"pikappa","479536574",15362500,13500000,-1862500,-12.1
"R3D IX","412684243",15678500,13680000,-1998500,-12.7
"MINI Binho","447521174",15607500,13500000,-2107500,-13.5
"Eilleye","889953137",16875000,14400000,-2475000,-14.7
"Luna Lovegood","168712897",17339500,14640000,-2699500,-15.6
"Noodlehead Jones","918418274",16363500,13800000,-2563500,-15.7
"soolo","211443325",17376000,14400000,-2976000,-17.1
"tenorman","389543546",15239500,12600000,-2639500,-17.3
"Kolin","895636154",17482500,14400000,-3082500,-17.6
"Sgc8647","623292887",11613500,9510000,-2103500,-18.1
"ER Darthpolli21","636722576",14308500,11670000,-2638500,-18.4
"TK6445","575217765",16654500,13500000,-3154500,-18.9
"Remo","617343877",16738000,13500000,-3238000,-19.3
"Amen","277226677",15092500,12000000,-3092500,-20.5
"Baker","781273553",15990000,12600000,-3390000,-21.2
"uzun4o","385111398",16040500,12600000,-3440500,-21.4
"Sir3","169971229",14077500,10800000,-3277500,-23.3
"Snikers","711328158",14177500,10800000,-3377500,-23.8
"Cire","363639736",16567500,12600000,-3967500,-23.9
"MINI Gewases Gait","781658169",16710000,12420000,-4290000,-25.7
"ÐΛЯТHŁФЯÐ","546454824",17578500,13020000,-4558500,-25.9
"Force Ghost A","247175762",14646500,10800000,-3846500,-26.3
"Maverick","986347788",17746500,12720000,-5026500,-28.3
"Darțh Ragnarok","848963679",14562000,9900000,-4662000,-32
"καρζζ","293117171",16792500,10800000,-5992500,-35.7
"Kyle Katarn OG","124126581",16719500,9900000,-6819500,-40.8
"MΔWSΔssin","534823566",15473500,3600000,-11873500,-76.7
"Wladmir","475635164",14171000,2700000,-11471000,-80.9
