"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Vxx","529988212",11263000,12600000,1337000,11.9
"三 syìng 三","786841145",17106500,18000000,893500,5.2
"mountjl","144546612",17438500,18000000,561500,3.2
"Seydaneen","498183781",16712500,17100000,387500,2.3
"Fraser","754528616",17711500,18000000,288500,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17811500,18000000,188500,1.1
"quentin","547933286",11988500,12000000,11500,0.1
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"CookieCrispp","664316463",17611000,17460000,-151000,-0.9
"Skyrunner","496743755",14542000,14400000,-142000,-1
"Morgoth","955838368",17449500,17100000,-349500,-2
"soolo","211443325",17653000,16875000,-778000,-4.4
"SlickRick","496858716",16200000,15300000,-900000,-5.6
"Danarius","269662845",15490500,14400000,-1090500,-7
"Set Harth","815276889",13080000,11835000,-1245000,-9.5
"Sgc8647","623292887",12240000,11025000,-1215000,-9.9
"Hammo","985188145",13728500,12300000,-1428500,-10.4
"Amen","277226677",15133500,13500000,-1633500,-10.8
"slepy","144564766",14145500,12600000,-1545500,-10.9
"Mitth'raw'nuruodo","368945983",14271500,12600000,-1671500,-11.7
"Mega Cire","172375865",17656000,15180000,-2476000,-14
"GrievousAndButthead","631836389",15890500,13500000,-2390500,-15
"MINI Binho","447521174",16138500,13500000,-2638500,-16.3
"Noodlehead Jones","918418274",16401000,13620000,-2781000,-17
"TK6445","575217765",17584000,14400000,-3184000,-18.1
"Leesus de Mol","194491658",14324000,11700000,-2624000,-18.3
"tenorman","389543546",15492500,12600000,-2892500,-18.7
"MINI Gewases Gait","781658169",16760000,13500000,-3260000,-19.5
"Remo","617343877",16764500,13500000,-3264500,-19.5
"Kolin","895636154",17495500,13980000,-3515500,-20.1
"User1234","255227625",15762500,12600000,-3162500,-20.1
"Mol Endinarius","546266818",15977000,12600000,-3377000,-21.1
"Sir3","169971229",14097000,10800000,-3297000,-23.4
"Baker","781273553",16910000,12600000,-4310000,-25.5
"Mini Cire","363639736",16659500,12330000,-4329500,-26
"Eilleye","889953137",16878000,12360000,-4518000,-26.8
"ER DarKnight","782938667",10083000,7200000,-2883000,-28.6
"Sirdavidsonj","956947937",14744500,10485000,-4259500,-28.9
"uzun4o","385111398",16680000,10800000,-5880000,-35.3
"Rolfey81","727183121",13944500,9000000,-4944500,-35.5
"καρζζ","293117171",16822000,10800000,-6022000,-35.8
"R3D IX","412684243",15707000,9900000,-5807000,-37
"Luna Lovegood","168712897",17400500,10800000,-6600500,-37.9
"pikappa","479536574",17706000,10800000,-6906000,-39
"Darțh Ragnarok","848963679",14581500,7200000,-7381500,-50.6
"ER Darthpolli21","636722576",15024500,6300000,-8724500,-58.1
"Lux Aeterna","666342982",17190000,7200000,-9990000,-58.1
"onk","927418855",10008000,3600000,-6408000,-64
"Wladmir","475635164",14241500,3600000,-10641500,-74.7
"Force Ghost A","247175762",16482000,3600000,-12882000,-78.2
