"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"CookieCrispp","664316463",17594000,18000000,406000,2.3
"Fraser","754528616",17692000,18000000,308000,1.7
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17800500,18000000,199500,1.1
"Leesus de Mol","194491658",14323500,14400000,76500,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Morgoth","955838368",17440000,17100000,-340000,-1.9
"soolo","211443325",17639000,17100000,-539000,-3.1
"Sirdavidsonj","956947937",14739500,14220000,-519500,-3.5
"GrievousAndButthead","631836389",15884500,15300000,-584500,-3.7
"User1234","255227625",13921000,13410000,-511000,-3.7
"MINI Gewases Gait","781658169",16757500,16080000,-677500,-4
"Set Harth","815276889",13080000,12555000,-525000,-4
"Danarius","269662845",15474500,14400000,-1074500,-6.9
"Amen","277226677",15112000,13500000,-1612000,-10.7
"slepy","144564766",14142500,12600000,-1542500,-10.9
"Mega Cire","172375865",17645000,15600000,-2045000,-11.6
"Mitth'raw'nuruodo","368945983",14262000,12600000,-1662000,-11.7
"Luna Lovegood","168712897",17375000,15300000,-2075000,-11.9
"Noodlehead Jones","918418274",16396000,13720000,-2676000,-16.3
"TK6445","575217765",17579000,14400000,-3179000,-18.1
"tenorman","389543546",15481000,12540000,-2941000,-19
"Remo","617343877",16763500,13500000,-3263500,-19.5
"Kolin","895636154",17493500,13860000,-3633500,-20.8
"MINI Binho","447521174",16129500,12735000,-3394500,-21
"Mol Endinarius","546266818",15974000,12600000,-3374000,-21.1
"Baker","781273553",15999000,12600000,-3399000,-21.2
"Sir3","169971229",14089000,10800000,-3289000,-23.3
"Snikers","711328158",16199500,12315000,-3884500,-24
"Mini Cire","363639736",16611000,12280000,-4331000,-26.1
"Rolfey81","727183121",13927500,10200000,-3727500,-26.8
"pikappa","479536574",17693500,12600000,-5093500,-28.8
"ER Darthpolli21","636722576",15024000,10020000,-5004000,-33.3
"ER DarKnight","782938667",10079000,6660000,-3419000,-33.9
"uzun4o","385111398",16676500,10800000,-5876500,-35.2
"καρζζ","293117171",16823000,10800000,-6023000,-35.8
"R3D IX","412684243",15674000,9780000,-5894000,-37.6
"mountjl","144546612",17419000,10800000,-6619000,-38
"damocheeks","379234773",14557000,9000000,-5557000,-38.2
"Seydaneen","498183781",16680000,9720000,-6960000,-41.7
"Wladmir","475635164",14220500,6300000,-7920500,-55.7
"Force Ghost A","247175762",16472000,7200000,-9272000,-56.3
"Eilleye","889953137",16874500,7200000,-9674500,-57.3
"Lux Aeterna","666342982",17149500,7200000,-9949500,-58
"onk","927418855",10009500,3600000,-6409500,-64
"Hammo","985188145",13299500,3600000,-9699500,-72.9
"Darțh Ragnarok","848963679",14580000,3600000,-10980000,-75.3
"ÐΛЯТHŁФЯÐ","546454824",17591000,0,-17591000,-100
"Sgc8647","623292887",12242500,0,-12242500,-100
