"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Hammo","985188145",8728500,10500000,1771500,20.3
"Mitth'raw'nuruodo","368945983",11383500,13500000,2116500,18.6
"uzun4o","385111398",11857500,13500000,1642500,13.9
"Seydaneen","498183781",11091000,12600000,1509000,13.6
"pikappa","479536574",9189000,10430000,1241000,13.5
"mountjl","144546612",13152000,14790000,1638000,12.5
"Force Ghost A","247175762",10833500,12150000,1316500,12.2
"MINI Gewases Gait","781658169",14545000,16200000,1655000,11.4
"Trent","382196579",11371000,12600000,1229000,10.8
"Danarius","269662845",12210000,13500000,1290000,10.6
"Klesk","548477854",10365000,11400000,1035000,10
"Amen","277226677",11867500,12600000,732500,6.2
"Forfs","172375865",16493000,17460000,967000,5.9
"Mol Endinarius","546266818",10423000,11040000,617000,5.9
"Fraser","754528616",17076500,18000000,923500,5.4
"CookieCrispp","664316463",17140500,18000000,859500,5
"Sir3","169971229",10598500,11100000,501500,4.7
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17224500,18000000,775500,4.5
"Remo","617343877",14443500,14700000,256500,1.8
"TK6445","575217765",10899500,11100000,200500,1.8
"onk","927418855",5801500,5850000,48500,0.8
"Morgoth","955838368",14420500,14400000,-20500,-0.1
"slepy","144564766",8482000,8362500,-119500,-1.4
"Iɳʋιƚαԃσ","887886159",15648000,15375000,-273000,-1.7
"Creative HD","368777242",7359500,7200000,-159500,-2.2
"Darțh Ragnarok","848963679",9727000,9450000,-277000,-2.8
"Dai Ren Jinn","679424677",18000000,17460000,-540000,-3
"MINI Binho","447521174",13444000,13005000,-439000,-3.3
"Charles","561322277",13995000,13500000,-495000,-3.5
"Baker","781273553",13171000,12600000,-571000,-4.3
"Leesus de Mol","194491658",8608500,8205000,-403500,-4.7
"Sirdavidsonj","956947937",8590500,8175000,-415500,-4.8
"Set Harth","815276889",9019500,8490000,-529500,-5.9
"Lux Aeterna","666342982",14672500,13380000,-1292500,-8.8
"Kolin","895636154",16316500,14400000,-1916500,-11.7
"DarthCiiid'r","364518768",5659500,4950000,-709500,-12.5
"tenorman","389543546",11692500,10110000,-1582500,-13.5
"καρζζ","293117171",11718500,9900000,-1818500,-15.5
"Kyle Katarn OG","124126581",14196000,11700000,-2496000,-17.6
"R3D IX","412684243",12151500,9900000,-2251500,-18.5
"Luna Lovegood","168712897",14097000,11430000,-2667000,-18.9
"ÐΛЯТHŁФЯÐ","546454824",14763000,10800000,-3963000,-26.8
"Noodlehead Jones","918418274",11969000,8550000,-3419000,-28.6
"MΔWSΔssin","534823566",10515000,7200000,-3315000,-31.5
"QuiGonJin","658131841",14458500,9720000,-4738500,-32.8
"Wladmir","475635164",8775500,5400000,-3375500,-38.5
"Eilleye","889953137",12209500,3600000,-8609500,-70.5
"Jaybee Ω","517227322",12123500,0,-12123500,-100
"Snikers","711328158",9959000,0,-9959000,-100
"soolo","211443325",15717000,0,-15717000,-100
