"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mitth'raw'nuruodo","368945983",11387500,13500000,2112500,18.6
"Remo","617343877",14454000,17100000,2646000,18.3
"MINI Gewases Gait","781658169",14554000,17100000,2546000,17.5
"Lux Aeterna","666342982",14693000,16980000,2287000,15.6
"mountjl","144546612",13164500,15180000,2015500,15.3
"uzun4o","385111398",11864500,13500000,1635500,13.8
"Seydaneen","498183781",11105500,12600000,1494500,13.5
"Trent","382196579",11371500,12900000,1528500,13.4
"Force Ghost A","247175762",10843000,12150000,1307000,12.1
"Morgoth","955838368",14448000,16200000,1752000,12.1
"Eilleye","889953137",12213000,13500000,1287000,10.5
"Klesk","548477854",10368000,11400000,1032000,10
"Forfs","172375865",16513000,18000000,1487000,9
"Hammo","985188145",9639000,10500000,861000,8.9
"Danarius","269662845",12471500,13500000,1028500,8.2
"ÐΛЯТHŁФЯÐ","546454824",14765500,15765000,999500,6.8
"Mol Endinarius","546266818",10430500,11100000,669500,6.4
"Amen","277226677",11865500,12600000,734500,6.2
"Noodlehead Jones","918418274",12218000,12900000,682000,5.6
"Fraser","754528616",17082500,18000000,917500,5.4
"CookieCrispp","664316463",17142500,18000000,857500,5
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17232000,18000000,768000,4.5
"MINI Binho","447521174",14721500,15300000,578500,3.9
"pikappa","479536574",12138000,12600000,462000,3.8
"TK6445","575217765",10900000,11100000,200000,1.8
"soolo","211443325",15710000,15720000,10000,0.1
"Cire","363639736",11755000,,,
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Leesus de Mol","194491658",9639000,9600000,-39000,-0.4
"onk","927418855",6119000,6000000,-119000,-1.9
"tenorman","389543546",11702500,11250000,-452500,-3.9
"Baker","781273553",13180000,12600000,-580000,-4.4
"Set Harth","815276889",9021500,8467500,-554000,-6.1
"Charles","561322277",14857500,13500000,-1357500,-9.1
"Sirdavidsonj","956947937",9949000,9000000,-949000,-9.5
"Kolin","895636154",16324000,14400000,-1924000,-11.8
"DarthCiiid'r","364518768",6564500,5745000,-819500,-12.5
"καρζζ","293117171",11728500,9900000,-1828500,-15.6
"Creative HD","368777242",9603000,7980000,-1623000,-16.9
"Luna Lovegood","168712897",14113500,11480000,-2633500,-18.7
"slepy","144564766",10392500,7200000,-3192500,-30.7
"Sir3","169971229",10601500,7200000,-3401500,-32.1
"Darțh Ragnarok","848963679",10315500,6300000,-4015500,-38.9
"MΔWSΔssin","534823566",12596500,7200000,-5396500,-42.8
"R3D IX","412684243",12188500,6300000,-5888500,-48.3
"Kyle Katarn OG","124126581",14196500,7200000,-6996500,-49.3
"Wladmir","475635164",9815500,4860000,-4955500,-50.5
"Snikers","711328158",9958000,2700000,-7258000,-72.9
"Jaybee Ω","517227322",12849000,2700000,-10149000,-79
"QuiGonJin","658131841",14454000,300000,-14154000,-97.9
