"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",18000000,10800000,-7200000,-40
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Forfs","172375865",17100000,14400000,-2700000,-15.8
"CookieCrispp","664316463",17100000,18000000,900000,5.3
"Kolin","895636154",17100000,17100000,0,0
"Fraser","754528616",17045000,17100000,55000,0.3
"Lux Aeterna","666342982",16818500,17100000,281500,1.7
"ÐΛЯТHŁФЯÐ","546454824",16200000,13815000,-2385000,-14.7
"MINI Gewases Gait","781658169",16149000,16200000,51000,0.3
"Scoundrels in a Cantina","746975472",16103000,7140000,-8963000,-55.7
"soolo","211443325",15300000,10200000,-5100000,-33.3
"Remo","617343877",14700000,13680000,-1020000,-6.9
"Baker","781273553",14400000,10800000,-3600000,-25
"mountjl","144546612",13800000,13800000,0,0
"Charles","561322277",13500000,10200000,-3300000,-24.4
"Iɳʋιƚαԃσ","887886159",13186000,12105000,-1081000,-8.2
"R3D IX","412684243",13164500,9000000,-4164500,-31.6
"Eilleye","889953137",13164500,9600000,-3564500,-27.1
"Kyle Katarn OG","124126581",12900000,12540000,-360000,-2.8
"Mitth'raw'nuruodo","368945983",12600000,13500000,900000,7.1
"Hello There","328546958",12298500,9600000,-2698500,-21.9
"Jaybee Ω","517227322",12272000,9780000,-2492000,-20.3
"MINI Binho","447521174",12259000,12680000,421000,3.4
"QuiGonJin","658131841",12242500,9900000,-2342500,-19.1
"Morgoth","955838368",12242500,11197500,-1045000,-8.5
"Sir3","169971229",12000000,8700000,-3300000,-27.5
"Amen","277226677",10420000,6660000,-3760000,-36.1
"MΔWSΔssin","534823566",9876500,7020000,-2856500,-28.9
"PowerZ","341753365",8932500,2700000,-6232500,-69.8
"Darțh Ragnarok","848963679",7072500,6405000,-667500,-9.4
"Danarius","269662845",7062500,6697500,-365000,-5.2
"Noodlehead Jones","918418274",7002000,6750000,-252000,-3.6
"uzun4o","385111398",6958000,6952500,-5500,-0.1
"Luna Lovegood","168712897",6814500,5850000,-964500,-14.2
"TK6445","575217765",6700000,6450000,-250000,-3.7
"Sirdavidsonj","956947937",6467500,6300000,-167500,-2.6
"tenorman","389543546",5867000,5512500,-354500,-6
"Klesk","548477854",5552000,0,-5552000,-100
"pikappa","479536574",5419000,6450000,1031000,19
"Mol Endinarius","546266818",5374000,4500000,-874000,-16.3
"καρζζ","293117171",5366500,4305000,-1061500,-19.8
"Seydaneen","498183781",5324500,4650000,-674500,-12.7
"onk","927418855",5213000,5077500,-135500,-2.6
"Wladmir","475635164",5184000,4942500,-241500,-4.7
"Set Harth","815276889",4988500,4410000,-578500,-11.6
"Force Ghost A","247175762",4942000,4050000,-892000,-18
"Creative HD","368777242",4780000,1170000,-3610000,-75.5
"slepy","144564766",4769500,4435000,-334500,-7
"Snikers","711328158",4689000,5400000,711000,15.2
"DarthCiiid'r","364518768",4062500,3750000,-312500,-7.7
