"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Grego Ren","324585528",9728000,10800000,1072000,11
"Hammo","985188145",13762000,14400000,638000,4.6
"mountjl","144546612",17485500,18000000,514500,2.9
"Seydaneen","498183781",16753000,17100000,347000,2.1
"Fraser","754528616",17715500,18000000,284500,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17834000,18000000,166000,0.9
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"DarthDenis","292197848",14989000,,,
"XxSimplyDEVOxX","684798227",11788500,11700000,-88500,-0.8
"quentin","547933286",12900000,12600000,-300000,-2.3
"Morgoth","955838368",17539000,17100000,-439000,-2.5
"soolo","211443325",17649500,17100000,-549500,-3.1
"GrievousAndButthead","631836389",15913500,15300000,-613500,-3.9
"Sirdavidsonj","956947937",14767500,14085000,-682500,-4.6
"XxSimplySHAZAMxX","286997594",10024000,9300000,-724000,-7.2
"Set Harth","815276889",13641500,12645000,-996500,-7.3
"Danarius","269662845",15582500,14400000,-1182500,-7.6
"slepy","144564766",14167000,12600000,-1567000,-11.1
"Mitth'raw'nuruodo","368945983",14296000,12600000,-1696000,-11.9
"Luna Lovegood","168712897",17450500,15120000,-2330500,-13.4
"Cuttymax","536242193",14301500,12000000,-2301500,-16.1
"Skyrunner","496743755",14631000,12195000,-2436000,-16.6
"ψhαяρσση","722454792",17364500,14400000,-2964500,-17.1
"Kolin","895636154",17514500,14400000,-3114500,-17.8
"TK6445","575217765",17604000,14400000,-3204000,-18.2
"CookieCrispp","664316463",17621500,14400000,-3221500,-18.3
"User1234","255227625",17628000,14400000,-3228000,-18.3
"tenorman","389543546",15542500,12600000,-2942500,-18.9
"Remo","617343877",16774000,13500000,-3274000,-19.5
"MINI Gewases Gait","781658169",16783500,13500000,-3283500,-19.6
"Vxx","529988212",15718500,12600000,-3118500,-19.8
"Mol Endinarius","546266818",15988500,12600000,-3388500,-21.2
"Noodlehead Jones","918418274",16444000,12600000,-3844000,-23.4
"Sir3","169971229",14112000,10800000,-3312000,-23.5
"Baker","781273553",16928000,12600000,-4328000,-25.6
"Sgc8647","623292887",13887000,10035000,-3852000,-27.7
"καρζζ","293117171",16837000,10800000,-6037000,-35.9
"Eilleye","889953137",16879000,10800000,-6079000,-36
"Darțh Ragnarok","848963679",16023500,9900000,-6123500,-38.2
"Mega Cire","172375865",17681500,10800000,-6881500,-38.9
"Rolfey81","727183121",14258000,6300000,-7958000,-55.8
"XxSimplyPOLOxX","336473447",14985000,6600000,-8385000,-56
"Force Ghost A","247175762",16480000,7200000,-9280000,-56.3
"Amen","277226677",15170000,6300000,-8870000,-58.5
"onk","927418855",10008000,3600000,-6408000,-64
"Wladmir","475635164",14277500,3600000,-10677500,-74.8
"R3D IX","412684243",15702500,3600000,-12102500,-77.1
"MINI Binho","447521174",16146000,3600000,-12546000,-77.7
"三 syìng 三","786841145",17163000,3600000,-13563000,-79
"Lux Aeterna","666342982",17247500,3600000,-13647500,-79.1
