"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Hammo","985188145",8724500,10500000,1775500,20.4
"Mitth'raw'nuruodo","368945983",11385000,13500000,2115000,18.6
"pikappa","479536574",9180000,10635000,1455000,15.8
"Force Ghost A","247175762",10525500,12150000,1624500,15.4
"Seydaneen","498183781",11091000,12600000,1509000,13.6
"mountjl","144546612",13153500,14700000,1546500,11.8
"MINI Gewases Gait","781658169",14543500,16200000,1656500,11.4
"Eilleye","889953137",12184000,13500000,1316000,10.8
"Danarius","269662845",12209500,13500000,1290500,10.6
"Klesk","548477854",10363500,11400000,1036500,10
"Forfs","172375865",16485000,17940000,1455000,8.8
"Fraser","754528616",16540500,18000000,1459500,8.8
"soolo","211443325",15717500,17100000,1382500,8.8
"CookieCrispp","664316463",16586000,18000000,1414000,8.5
"R3D IX","412684243",12171000,13050000,879000,7.2
"uzun4o","385111398",11859000,12600000,741000,6.2
"Amen","277226677",11872000,12600000,728000,6.1
"Sir3","169971229",10597000,11100000,503000,4.7
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17227000,18000000,773000,4.5
"Noodlehead Jones","918418274",11969000,12180000,211000,1.8
"Remo","617343877",14445500,14700000,254500,1.8
"onk","927418855",5801500,5850000,48500,0.8
"Iɳʋιƚαԃσ","887886159",15649500,15735000,85500,0.5
"Morgoth","955838368",14415000,14400000,-15000,-0.1
"Dai Ren Jinn","679424677",18000000,17580000,-420000,-2.3
"Mol Endinarius","546266818",10421500,10140000,-281500,-2.7
"Sirdavidsonj","956947937",8587500,8355000,-232500,-2.7
"Charles","561322277",13995000,13500000,-495000,-3.5
"Leesus de Mol","194491658",8610000,8295000,-315000,-3.7
"Baker","781273553",13172000,12600000,-572000,-4.3
"MINI Binho","447521174",13193000,12600000,-593000,-4.5
"Lux Aeterna","666342982",14671000,13440000,-1231000,-8.4
"Creative HD","368777242",7360000,6510000,-850000,-11.5
"Kolin","895636154",16319000,14400000,-1919000,-11.8
"TK6445","575217765",8682500,7650000,-1032500,-11.9
"MΔWSΔssin","534823566",10516500,9000000,-1516500,-14.4
"καρζζ","293117171",11689500,9900000,-1789500,-15.3
"tenorman","389543546",11693500,9780000,-1913500,-16.4
"Snikers","711328158",8020500,6675000,-1345500,-16.8
"slepy","144564766",7597000,6292500,-1304500,-17.2
"Kyle Katarn OG","124126581",14187000,11700000,-2487000,-17.5
"Luna Lovegood","168712897",14095500,11430000,-2665500,-18.9
"Wladmir","475635164",8451000,6540000,-1911000,-22.6
"ÐΛЯТHŁФЯÐ","546454824",14761500,10800000,-3961500,-26.8
"Set Harth","815276889",9018500,6300000,-2718500,-30.1
"DarthCiiid'r","364518768",5058000,3450000,-1608000,-31.8
"Darțh Ragnarok","848963679",9725000,6600000,-3125000,-32.1
"Jaybee Ω","517227322",12123500,2700000,-9423500,-77.7
"QuiGonJin","658131841",14458500,0,-14458500,-100
